ref,coverage,content
18,0.54%,"all_R_2ScTZqcYBd66KdC : I believe my geographic location has some influence on my life. Sometimes I may go on bike rides or go on walks with my friends at the beach to talk and relax. More than the location, the people who live near me are critical to my life. Many of my friends live close to me. Knowing I have many friends close to me makes me feel as if I have someone to rely on thats emotionally and geographically close to me."
19,0.18%,"all_R_1ZxNciduOiuTALn : My location is very close to the doctors, police station and stores so it has a positive impact on my health and safety."
20,0.49%,"all_R_bwQMMUQMOCVBUe5 : The area where I reside in is filled with many resources available to me. I have a good and happy relationship with my family as I can talk to them about anything. There are good schools near me with proper resources to achieve my goals. I also have goos support from my friends who also live near me. There is very little violence where I live in, it is a safe community."
21,0.85%,"all_R_Rtu4enND4f6KTND : Living in an area easily accessible to everything such as entertainment, shopping centres, and friends who all live in the same area and within walking distance has a great impact on my personal health. Having access to these institutions make it much easier to talk to, interact and have fun with others. In terms of relationships, with most of my friends and family being nearby, it is easy to hold relationships and access them when needed. In terms of safety, living in area that has had violence and criminal activty does have a negative effect on an individual, but putting that aside many neighbours and friends make it less evident and are welcoming."
22,0.24%,"all_R_31EOUOUJFIEpKKp : The community is far from downtown and is quiet and peaceful, it sometimes make me feel a little lonely but most of the time I enjoy the mood and environment I was in."
23,0.12%,"all_R_2chJR9kkRh6GFvH : My geographical location is extremely peaceful, calm, and positive"
24,0.40%,"all_R_2afPDIrZOMnoFiQ : My location plays a huge role in my safety, health and relationships. Most of my immediate family live within the same area. My school is very close to home which makes it convenient to see my friends often. There are several parks and recreational centres near me to help with my mental health."
25,0.16%,all_R_1mOt1u7u3zGWn7q : Living in the edge of chicagoland gives me many options of places where I want to go and live my life.
26,0.27%,"all_R_2AL7hqKrNehqjiS : My location impacts me positively as I am close to my friends and family. As well, I am situated close to hospitals and grocery stores. I feel like my location doesn't impact me negatively."
27,0.35%,"all_R_3KqKLbwY35hzPmg : I feel lucky to be raised in a country such as Canada, as the general environment here is very good. I lived in a good neighbourhood, which lead to good things about the relationships I developed and my safety. My parents took good care of me and my health."
28,0.70%,"all_R_XKYWhSSngDmF3Md : Currently, my location is keeping me safe, as a response to COVID. I am supported in most of my lifestyle choices by the laws that are in place. and i feel safe in my sexual orientation. I feel the minimum wage in my country is fair, and I have been supported by jobs in the past, enough to stay afloat, as well as have some spending money. I am overall very content with Canada, I think it is a beautiful country, and I believe it helps many cultures feel appreciated and heard. I am also able to get adequate care for my mental health."
29,0.14%,"all_R_3niuPtqoRrAjtvA : Everyone around looks peaceful and pleasant, no need to worry negative effect on me."
30,0.18%,"all_R_3kO4BRrf2vPZhOc : I live in a standard area in which I have easy access to the things I need most. Parental help, medical attention, etc."
31,0.28%,"all_R_1Nyug41f7pV6OXF : I am close to the TTC, so it allows me to commute safely and conveniently. A lot of my friends live in this area so I am really happy with this location. Access to a lot of restaurants which is great."
32,0.17%,"all_R_2rBCqKDNvY3GFuP : My home is pretty good for me, not too far from school or downtown. I've never felt unsafe in the neighbourhood."
33,0.81%,"all_R_2ru6Yt4mj4I15Jb : Certain geographic locations can identify the socioeconomic status of an individual. For example, an area with many amenities such as malls, restaurants, hospitals, etc. would most likely include residents with a higher socioeconomic status than an area with a lot of poverty. Living in a country like Canada, which is a first world country, and a neighbourhood that is surrounded by the essentials and more, it makes my life a lot easier and privileged. Health and safety wise, I live in an area where crime is low, security is high, hospitals are just minutes away and friends/family are a short drive or public transit ride away."
34,0.23%,all_R_21vKKrADNhJZKbb : My location comes with may benefits that have aided me through out my life such as a sense of safety and security as well as opportunityÉ??s for advancement.
35,0.42%,"all_R_1mC7298ddsQJq7m : My current address is easily accessed to my school, so it affects my relationships in a certain range. As a result, most of my friends are from school. Since I lived in a townhouse with my friends, I don't need to worry about my health because I know their daily routine. We won't get out if there's no necessity."
36,0.19%,"all_R_1gpVwxA4XCpagt4 : I enjoy the nature alot, and I am grateful that I live close to a park where I can go to de-stress and feel better about myself."
37,0.63%,"all_R_3s16rnzDZx3fqCq : My location especially being in Ontario gives me great access to medical resources, which I can access for free with OHIP. My location in a small town also allows me access to a close-knit community of individuals as well as grocery stores, doctor offices, restaurants and clothing stores, everything I need to be happy and healthy. My location also provides a community that is committed to respecting everyone regardless of their orientation, race, identity, age and health status."
38,0.35%,all_R_3Es8592hC1doTt2 : I believe that where I live is a perfect location as it is near everything I could need and I dislike living in an apartment which may be one of the causes of my health but I'm overall very grateful for where I live and in such an amazing country and area.
39 - 40,0.25%,"all_R_2Cxh0f5fhSd172W : My location in the city is a middle class neighbourhood, this positively impacts my safety as there is constant neighbourhood watch, as well as more access to resources easily."
41,0.52%,"all_R_1r0LRJQbyISLGx0 : Where I live has impacted me slightly. Most community members are nice which includes, businesses, neighbours, convenience stores etc. Im happy that my neighbourhood is a safe place where my safety and family relationship is unharmed. My area is a hotspot where we have multiple options for transit, many superstores and restaurants, and other entertaining places to go. Happy with where I live."
42,0.35%,all_R_1jcDmYClNlQSor8 : I live in a very well-off/middle-class area which is why my responses reflect that my living conditions are great and my mental health is mostly stable. That doesnÉ??t really do much for the goals that I would prefer to be achieving or have achieved however.
43,0.27%,all_R_ZrCURLgX7bpC7Bv : My location is perfect for me. Whenever I have health issues I have easy access to hospitals and clinics. Groceries and shopping malls are nearby. It has made my life easier and made me lazy.
44,0.17%,all_R_Xj6ogxGEivDN0kh : I have a lot of resources near the place I live in. I feel very safe and can ask for help whenever I need it.
45,0.22%,all_R_2AF4tYwdjA9iRhO : My location is a nice neighborhood. There is ample green space to walk and my neighbors are nice. I like my neighborhood and i feel i belong there.
46 - 47,0.21%,"all_R_2dyBSGIEfoBE10p : My upper middle class area that I grew up in helped me stay safe and healthy, but made it harder to be tolerant of others until i was a adult."
48,0.26%,all_R_10oOy7v05E3C5nn : I live with my parents in a middle class neighborhood. My relationships are strong with the people around me. In this environment I have access to healthcare resources and I do feel safe.
49,1.55%,"all_R_3kGKEl33LxksxsF : There's this music genre and community coined as ""midwest emos"" and I think most people who have grown up in the midwest can agree to feeling depressed a lot of the time, especially when they're further away from bigger cities. A lot of the time it feels really isolated and lonely, even when you're surrounded by your friends. There's this sort of eeriness that comes with living here that you can't really shake. My location has lead to me to not report a rape because I wouldn't be able to afford all of the things that come along with it. My life feels very in the middle, but I know I have it better than a lot of people still, and that's even more depressing. The midwest sucks, but it also grants freedoms you don't really get anywhere else. Sitting on the roof of your car, stargazing with no one around you for miles can be leave you feeling really connected to the earth. Those moments make life worth something, it makes all the death threats for fighting for who you are and what you believe in worthwhile. It takes time to realize these things though, and I'm really grateful that I did. There's still a lot of things that could be useful for kids living in rural areas, but it isn't all hopeless all of the time."
50,0.15%,all_R_27sseEZ0XK4m8ea : My location makes me feel really good because in my area I am part of the wealthier portion.
51,0.69%,"all_R_2CNTnEiPzHxfzUv : My geographic location is a literal health disparity. I live 25 minutes away from a hospital that is mainly populated by migrant workers who cannot afford health insurance or access it. It's rough out here, but things could be worse. I think the best way to describe it is as a place we all hope to get away from, but I still love the country aspect of it. It's not all bad, but it's also not all good. It's very small and I (and many others, such as my friends) are looking to leave one day for at least a couple of years or so."
52,0.28%,all_R_2VwGfU3wIjn04am : I am thankful to live somewhere where I can have all of my necessities to keep me going during these hard times. I have a girlfriend who goes to Pace with me but lives and Miami and we miss each other.
53,0.16%,all_R_u82TDBqX67qNakV : My geographic location is in a nicer area and I don't have to worry about bad things happening around.
54,0.43%,"all_R_1FailUrSZd2G6TY : Near my home, there are many health resources available. My friends are a few streets away which helps when we get together in person. My family and I are renting from a close uncle which helps me feel safe and unafraid of losing the home. Also, because I am with my family, I am able to build on my relationships with them."
55,0.89%,"all_R_33apbMI2XORbfMS : Well, I have grown up in a very middle class area and there are many towns surrounding me that are extremely wealthy or poor. My highschool was very large with a graduating class of 1,000 students and with the school being split into two campuses. So, I like to think I experienced lots of diversity in highschool and got to see other's lives around me and I don't like to take mine for granted. My sexual identity was always a question because I always knew since I little girl that I could date boys but never knew I could date girls until older. So the idea of dating girls was kind of crossed out in my mind because I had been conditioned ""I like boys"" but I didn't know I could like both."
56,0.48%,"all_R_2ahsq9eQb6kFjRS : I think my geographic location compared to many others in the world has helped my safety, health, and relationships. I have grown up in the middle class, with no real complaints. Went to descent schools, got the education needed to get me to a 4 year university, I have many friends both back home and in Merced, and my safety has never been in question either."
57,0.10%,all_R_1MLGUR5PoXfNOa7 : The location is pretty safe since is close to school.
58,0.24%,all_R_22lEjqRz3fmuQ3v : I believe my geographic location does impact me. I live in a small conservative town. Most people here are very welcoming and my neighborhood is quiet and peaceful.
59,0.48%,"all_R_3kce9mlMPcqC5qm : Location impacts almost all aspects of my life. In Merced, California I feel more safe than I would if I were staying at the house I grew up in back home in Stockton, California and that is simply due to the large difference in crime rates within these two locations. Merced feels more calm whereas in Stockton you need to be aware of your surroundings more often."
60,0.60%,"all_R_7PZBao8Fmu1CxMJ : I'm in the US, in San Fernando, based on where I am I can say that, for the most part, it's pretty safe. When it comes to my health it's great, but it's when that changes that It may be a problem because I have the school's health insurance so I don't know if it's accepted everywhere. Being in a city, rather than a more quiet, open land is that there is always something going on and there's more opportunity for distraction and avoiding deeper conversations."
61,0.43%,all_R_sSbqKU122HL090Z : The central valley compared to other regions is fairly isolated and sometimes I feel like I can't really have fun here or out go to places. Due to it being less crowded has made me appreciate nature and calms me. Relationship wise its difficult meeting people with my same mind set to it being an are fairly conservative.
62,0.12%,all_R_3CCLijaDhsJBN1I : There's not a lot of access to resources but that is considering COVID.
63,0.59%,"all_R_3KVDHzM7IyrAw88 : I live sort of in the country so I don't have as many neighbors as the typical person who lives in the city. I live around a lot of orchards so they can bring peace sometimes. I was robbed a few years ago so since then it has been tough feeling safe, but we also have a security system now I feel safer. The biggest health problem is that I have asthma and theres a lot of dirt and pollen by my house so it can be a bit tough to breathe sometimes."
64,0.54%,"all_R_1N4IosedMZVeNOK : My location plays a small role on the impact it has on me because it still allows me to have access to resources such as hospitals, clinics, school, etc. My location feels safe and does not make me feel like I am posed with a threat to my own safety or well being. This location is also small which allows for easy access to my friends and family, enabling the relationships I have to be consistent and well."
65 - 66,0.38%,all_R_3elDbQKWIQipnKp : I live in a ranch. I live with my in laws and my fianc??. I love living here because its pretty big to where I can drive all the way to the back of my backyard. I like taking walks and enjoying the fresh air when I can. we have animals too that are calming. I like the open areas.
01-Feb,0.30%,zero_R_3J3i4bamR9nke5z : I live near a very established location where I am about 15 minutes from everything I need. I think it makes a big difference being close to everything that I could need on my quality of life.
03-Jun,0.46%,"zero_R_37AQRVSkhJHl1jr : My location has a huge effect on me as a person because I have access to many things that others don't. Since I was raised in a nicer area with parents who can afford it, I didn't learn until I was older how lucky I was to be raised like that and how hard other people work to get less than what I have."
07-Aug,0.15%,zero_R_O7nE5cD31QAgLYt : I am very close to the student health and wellness center if I ever needed anything.
09-Nov,0.20%,zero_R_3oGcWYPHxlyUDsl : i am in a good situation where i live close to medical attention and have healthy rlationships with the people around me
Dec-14,0.75%,"zero_R_10CmPcuCDGmAckV : My geographic location both at SIU and back home are good. My hometown is right next to the capital of the state (it's only a 10 min drive) so I have access to any resources that I would need for both mental and physical health. Since I don't live in the city I feel safe, even when I am in the city I have never felt unsafe. The Springfield Police Department does a good job of keeping everyone safe. SIU does a good job of providing for all of our needs as well. They also do a good job of keeping us safe on campus."
15,0.24%,zero_R_3lLyTcVtnnQRC9i : I live in a good suburb of St. Louis where I have a lot of friends. I never really have to fear for my safety when I am out and about in the area.
16,0.50%,"zero_R_2bhNnN9dMchncVb : My location impacts me because I believe, who and what you are surrounded with will effect your every day life. Where I live is in a middle class happy place. I believe your location can change the way you see things and how you act for example if you grew up in the hood you may get involved with drugs because you grew up with that."
17 - 20,1.03%,"zero_R_23dTFGhgDcGbMjD : I grew up and still live in a suburban town mixed with people of all classes and races. Primarily Bergen County is a higher class and white town so I feel that safety and health was not much of a concern growing up. There are many emergency expresses near by and other services that are easily accessible. The towns police and departments are always out patrolling. The only time I felt unsafe was when my familys home had a fire a couple years ago and was displaced for months. This was because we had to move and learn new ways of getting around and was sort of thrown outside of our comfort zone. Other then that, I personally have never felt a significant negative impact on my safety, health, or relationships."
21,0.20%,"zero_R_vdwoG5GNqyQs493 : I grew up in a fairly safe neighborhood, as a white kid In a primarily white town I never felt discriminated against."
22 - 23,0.18%,zero_R_271d3vThmkxQhiD : My location provides many resources for me and is a very safe neighborhood which i am thankful for.
24 - 25,0.13%,zero_R_3HHxSVNRCYT1PUZ : My location is very safe and gives me great access to healthcare.
26 - 30,0.35%,"zero_R_12focScEA7MkPqY : I live in a relatively wealthy monocultural area. I am from the prevalent ethnic group in the area. I am young, fit and healthy, so I whilst I can feel very positive and resilient, I am unaware of what true hardship is like."
31 - 33,0.29%,"zero_R_2YswRDZ0G3Gl5HB : Since I live in the capital of Greece, Athens I have access to very many different places; nit only regarding my job and medical issues, but also based on my friendships and night outs."
34 - 37,0.52%,"zero_R_umLl8F0Pow7pDj3 : I live in wealthy country by all global standards and have been a successful executive, father and citizen (by all reasonable measures). I am white male in a predominantly black country with an increasing wealth gap that is causing social strain. I have access to good healthcare, good family and friend relationships but can sometimes feel isolated."
38 - 39,1.87%,"zero_R_2rPCP3AwSSZfMhU : I grew up in the rural mountains of North Carolina. While I now attend medical school and have had a solid socioeconomic standing while growing up. My school and community was severely underserved. The community does not hold many of the important specialties, especially when concerning pediatric care. More so, mental health initiatives and counseling help is extremely limited in the area and can lead to challenges throughout the community. For example, I was required to travel close to 200 miles round trip in order to receive treatment for a pediatric bleeding disorder as a child. The closest PICU is the same distance and has led to significant challenges for both my family and even more throughout the community. Emergency medicine is the highest risk in the area as transport can lead to poor health outcomes, particularly due tot he isolation associated with the community. The areas tobacco and drug problems are a extremely significant as well, as a result of previous tobacco industry in the area, lack of resources to mental and physical health, poor education system, and low socioeconomic status. Watauga county has the largest socioeconomic disparity in the state of N.C. this translates to a food insecurity rate approaching 25-33%, an astounding number. This further complicates health in the region."
40 - 41,0.47%,zero_R_2OTKpA81uFXlJSQ : I don't know that my location affects this much other than the good fortune of living in a first world country (which I do think matters quite a bit). I think it's more impactful that I am well educated and successful professionally giving me financial wherewithal to meet my needs and the needs of those I love.
42 - 43,0.73%,"zero_R_3sgpO2LYjpnLYkK : My location puts me at a disadvantage to communicate with those of other cultural backgrounds. I have been blessed to be put into such a diverse church and university, but apart from those I grew up in a redneck, white town. I live in the middle of no where so it is pretty safe out here. There are disadvantages of wanting to communicate with others in person as I must travel quite a distance to see people. My family also has to drive that length to get groceries as they are not accessible out here."
44 - 45,0.43%,zero_R_2v0QyowjtiZ6jAn : Growing up where I did made me able to keep myself occupied and happy with little to do. Moving to Carbondale has changed what I have access to and made me feel more lethargic and depressed more often. I had more close relationships in my small town than in a larger city like here.
46,0.30%,zero_R_28zI7xv0KkKa4wl : I was fortunate to grow up in a middle class area. Despite some family issues I've had pretty good relationships with my family. My safety and health is pretty good and has not been an issue.
47 - 49,0.27%,zero_R_1DBDoxOhaZCr3JM : I like my location because it enables me to freely and most easily have access to basic facilities that make life much more easier; though sometimes it could be noisy.
50 - 51,0.31%,zero_R_27Qe6twIrA2vDot : IÉ??m from an area that is generally considered poor. I feel safe there. I have access to healthcare within 30 min. I would consider this area somewhat rural even though it is a residential community.
52 - 53,0.20%,zero_R_2fHggnk747T3fYs : My location impacts me because of the fact that it is not very convenient because I am so far away from everything.
54 - 56,0.53%,"zero_R_pgxDGSdwWddZoyd : I like where I live. I live with my mother and I am close to my dad's house so if anything happens or I need a getaway, I can just go there for a little while. Its nice living close to school also,makes it easier for me to commute and not have to worry so much about rushing. I'm in a good place, everything is close around me and it makes me feel better."
57,0.52%,"zero_R_1n9FsGMeHGni4YG : I live in the suburbs, and I feel this insulates me from many threats to health and safety. It also limits the relationships I form with others as there just aren't as many people around compared to denser areas. My neighborhood is also very racially homogeneous, and the lack of diversity negatively impacts my experience of culture and perspective"
58 - 59,0.34%,"zero_R_9mkbx4XP000Sbmx : My location is Ozuoba, Rivers State, Nigeria. My location is fairly safe as the whole country is in a state of serious insecurity. There is a nearby Health Centre. And my location has no negative effect on my relationship."
60 - 61,0.17%,zero_R_1gFJguu6xFQUHYc : my location is safe my health is good and i have access to good healthcare all of the time.
62,0.17%,"zero_R_3iOK6XGuOfX9Ty2 : I am fortunate to live where I do. I feel safe, have good relationships and its a good area."
63 - 64,0.16%,zero_R_2Ez2KE0Z9JvPQ6k : New Martinsville is not really a place for young people because there is nothing to do.
65 - 66,0.08%,zero_R_2agkKyecJv9mKzQ : There is nothing to do here.
67 - 68,0.08%,zero_R_2ql09Ac6O87qs9H : There is nothing to do here.
69 - 71,0.28%,"zero_R_3qJNtp31Xle0DBN : I live on east campus at SIU and I've never felt unsafe and I'm close to my friends, boyfriend, and family. I have a doctor and pharmacy out here as well. I live well out here."
72 - 73,0.75%,"zero_R_2D6LcpvKBxfadOr : I live on the outskirts of the country where it is very quiet but I have always enjoyed a rich lifestyle and both of my parents are married while my mom stayed home to raise both myself and my brother. Our location is safe with a large supportive community with hospitals, grocery stores, drug stores, gas stations and so much more within a 10 minute radius of my home. There has never been a fear in my family of sickness being a life threatening issue or of our home being separated. I have lived a happy life so far."
74,0.16%,"zero_R_DNKNQdNLno9d6Vz : i live in a small town with lots of nature, which helps me calm down when i am stressed"
75 - 76,0.79%,zero_R_3L7LnKACywaDTgv : I live in a very wealthy neighborhood. I have always had access to anything and everything I needed as a child. I never felt unsafe walking to the local town or biking to my workplace. I do feel isolated from my peers as i live very far from my current school. This strains my relationships with friends as i have to rely on calling and facetime when i need someone to talk to. However living at home strains my relationship with my parents as we have very different lifestyles. I have never worried about not having access to health care services.
77 - 79,0.47%,"zero_R_Ad4PfNzlwf2vE09 : My location makes me a bit more self conscious about my personal life such as social status and financial status even though me and my family are in good standing, we live in a predominantly upper class area and it can make me feel self conscious however, going into college it was the complete opposite experience."
80,0.15%,zero_R_b2BtrUnL4eMbWO5 : I am grateful to have grew up in a location where I am provided with opportunities.
81,0.34%,"zero_R_2aQOwm6G74IWC6R : My location, being in an extremely safe, suburban town has impacted me positively. I do not feel my safety is ever threatened. My community has a very good education system, as well as many local healthcare resources."
82,0.28%,"zero_R_cvkyyvL4yuV7okx : Here in Italy health services are free, and they work; Italy is a very safe coutry; people here is quite openminded and willing to support each other, at least people i know"
83,0.10%,zero_R_BGmCVeeXlO4jcl3 : Always safe and surrounded by good resources
84,0.77%,"zero_R_3Mz0cDPMpYXDnwl : My place of residence influences me in the way that I can be free, geographically but also as a person. I can go anywhere without limits, I can develop freely, I can enjoy nature. I can ride my bike alone at three o&amp;#39;clock in the morning without fear. My place of residence allows me to have many relationships and to be healthy. Mentally, because I can go to the sea or the forest, geographically, because I can see a doctor when I&amp;#39;m sick. My place of residence is part of my identity and often makes me feel good."
85 - 86,0.49%,"zero_R_z70MceS9jhOIJMZ : In my place of residence there is everything I need to live (supermarkets, drugstores, clothing / book stores, ...). There is also a relatively high standard of living where I live. Health care is also guaranteed (pharmacies, specialists, ...). General practitioners have no capacity to admit new patients. That is problematic."
87 - 88,0.39%,"zero_R_2dLuTCQfw17lJow : I grew up in the country, a family home on a play street. I would put everyone in the estate into the upper middle class. In addition, there is a nearby forest and I have never lacked exercise and fresh air. I get a lot of support from my family and friends."
89,0.65%,"zero_R_3mmhlXgsFmvXj8N : My place of residence means that I have access to all doctors / hospitals / .. at all times. That&amp;#39;s why I never feel scared. Since my family and my boyfriend and my friends all live in a very small radius (about 2 km radius), I am very happy and I think that contributes a lot to my well-being. I think it&amp;#39;s not about the city of SaarbrÅcken per se, but that I live in Germany (= safe, good care) and close to my loved ones :)"
90 - 92,0.49%,zero_R_3j8zEbN55Xyez1H : I feel pretty safe where I live. I am glad to have a beautiful park close by and to be able to enjoy the sun undisturbed. Unfortunately we have neither a garden nor a balcony in our apartment. We have many shops and doctors in our vicinity and we live close to the center. I feel accepted as a person here and can live out freely.
93,0.13%,zero_R_2DNcSPCBCQKzbUP : Raised up in the country as a result of a quiet happy childhood.
94,0.76%,"zero_R_so0TmxJPoen73yN : I am privileged when it comes to where I live, both because of the location and the internal structure. I can meet a multitude of friends in a very short time and everything I need can be easily reached by bike, on foot or by public transport. The fact that many places can be reached on foot is particularly good for my health and encourages me to move around a lot. I have the freedom to move where I want and whenever I want. Nothing stands in the way of a visit from friends. All of this has a positive effect on me."
95,0.36%,"zero_R_2wprNTMBTH61GdF : Row of homes, terraced houses with their own garden, safe area, good access to ôPNV, elementary school, playground, forest, restaurants and snack bars in the immediate vicinity, a few friends in the neighborhood - but little contact"
96,0.30%,"zero_R_2fCzKSu9nYUbv2S : I like my place of residence because it is close to all places I can reach. (Work, university, train station). Other people (friends) can also reach it easily because it is centrally located."
97,0.35%,"zero_R_RE13FJ5r4YI6T05 : I moved 5 years ago with my wife. We live in a large apartment in the city center, have a balcony and terrace and are very aware that we are privileged. As long as we both stay healthy, we&amp;#39;ll probably stay very happy too."
98,0.61%,"zero_R_1lsfsW5yLOxWizo : I consider my place of residence to be quite privileged and I always feel safe there. I&amp;#39;ve always wanted to live in a beautiful old town and that&amp;#39;s why I feel very comfortable there. That will probably help me find my balance at home and recharge my batteries. It&amp;#39;s a quiet environment, good for your mental health, yet not far from the hustle and bustle so you don&amp;#39;t feel left out."
99,0.24%,"all_R_1C2rRQ2ycLzAnu4 : I feel like I live in a healthy environment, that encourages growth and offers new opportunities.I am a healthy person and I have good relationships."
100,0.11%,all_R_1N9tBoWrlY4frEz : I have access to a lot of resources that a very close by
101,0.30%,"all_R_3J8cgJzTAtvjNGE : Since I live on campus, I have a large variety of resources that I am about to take advantage of. Additionally, I live in close quarters with many people, so I am always able to reach out."
102,0.35%,"all_R_9LBENKTOBaQRoXv : My living environment has little to do with my safety, health, and relationships. I grew up in a middle class/low-class neighborhood and was used to crime and bad things happening around. This has made me stronger in my opinion."
103,0.21%,"all_R_3KQ8xsW2v3oItqE : My location gives me a lot of opportunities to form nice friendships, start a life without worrying about my surroundings."
104,0.42%,all_R_1qW1vP0qE1Zq0CL : The environment I am in is unmatched. I have everything and anyone I need when I need them. I have all the resources to keep my emotional and social needs met. I love my life and everything I do. I have a great internal drive and motivation along with my peers cheering me on.
105,0.39%,all_R_2zvVcKPxYR1O3Vh : I live on campus and I feel more safe here than my home town. Here they have a police force in close proximity and they have security that patrols campus. I also have access to a hospital if needed and the school provides me with transportation to get around.
106,0.15%,"all_R_24qplP8YuyuNYYX : My location has provided me with new experiences, friendships, and new opportunities."
107,0.55%,"all_R_1dyjaT0kjUpxpzt : I think my location benefits me that I have a lot of resources around me, including therapists, doctors, and so much more. However, around me it is less common to talk about my problems as openly, leading my parents to not understand every aspect. This makes it hard to actually get help somewhere, especially if I am struggling with the motivation to do it on my own."
108,0.33%,"all_R_3L53fqr88Dr7UP6 : The university I live at is very open and helpful. Many different physical and emotional help options are available at all times. There are not many heavy stress factors, especially ones I cannot handle myself."
109,0.34%,all_R_3sBPSAFE5EOFbd2 : Carbondale Illinois is a very accepting and providing environment. I have full access to any resource I may need whenever I may need it. I am able to keep my life in check while owning up to all of my responsibilities.
110,0.70%,"all_R_3NNSHanMrDdJzE9 : I'm white, raised in a white neighborhood, but with a lot of liberal/left leaning people. This has led me to feel comfortable experimenting with gender and sexuality, but has left me lacking in education on racial issues. I live in a very safe neighborhood and do not experience violence, and it came as quite a shock when I was in a group of people with wildly different lives than me who live through fights at school, violence at home, and can still come out of it nonchalant."
111,1.24%,"all_R_DcwAYA2SpjwiCTD : I live in a pretty safe suburban neighborhood so I guess that would explain why I very rarely felt unsafe in my life. In addition, because my mom is a nurse and we live close to the city I have access to pretty good medical resources. I have not found any difficulty dealing with my gender and/or my identity, primarily because I don't belong to the LGBTQ+ organization, and society is more welcoming to individuals who are heterosexual or identify as a male or female compared to those who are lesbian or gay. In addition, because of that I believe that I am more comfortable going about society, whereas others may be ridiculed in his or her workspace, church, or home. As for my ethnicity, because I am Asian, I have faced some difficulty and racist comments when growing up, but it did not really bother me or stunt my confidence or my appreciation for my culture."
112,0.22%,"all_R_1d186U8zXt5VjGe : I live in a safe and accepting place, and I am in a place of privilege so I don't usually fear not being safe except for being a woman"
113,0.58%,"all_R_2SdZYnSbftL2GBl : This week has been a bad couple of weeks for me and I actively seek out professional medical health via a therapy, so my answers are very honest but a bit more depressing than usual. I'm in a long-distance relationship with my fiance (I'm in NYC, he's in Maine), so that's a huge pressing factor on my happiness. Other than that, the stress I experience at work/school is also immaculate."
114,0.23%,"all_R_1QyBXYRDvILi4n5 : I have more privileges available for me than most, but my family is somewhat narrowminded and sometimes I don't feel safe confiding in them."
115,0.28%,all_R_3EbA0M6XRbxbuTM : Living in a nice neighborhood exposed me to the more beautiful aspects of childhood and humanity. I believe my upbringing has made me into the best person I could have been.
116,0.46%,all_R_27JzkeYZLZHZCQD : I have overall lived an exteremely blessed life. My environment allowed me to make freinds and get a good education that many others havent gotten the opportunity to experience. My parents are loving and have always pushed me educationally and to try new things. Ive overall felt safe in my environment.
