ref,coverage,content
18,0.25%,all_R_3pfJdrNmvdAOKzV : I feel as though my location and relationships that I have with people around me is most definitely a positive contribution to the man that I am today.
19,0.56%,"all_R_3HYplMgEZX1X11P : My location impacts my friendships and romantic relationships, as they are frequently long-distance. My location and the locations I have lived at in the past influence my identity as well; I frequently moved cross-country or to other countries growing up which solidified my ethnic identity as I felt disconnected from any ancestry or place more narrow than the United States"
20,0.59%,"all_R_3FLrUR63dyidKE6 : Where I live there is no help for undocumented immigrants. For that reason, my family and I think hard before going to the doctor. In fact, we almost never due, unless it is an absolute emergency. This really has a big effect in my health. I have had jaw pain for the past couple of months and although my parents have tried to convince me to get seen by a doctor, I know that we can not afford it."
21,0.31%,"all_R_Dv4xNkvb1kYhIxX : I think the fact that I grew up mainly in a black home, black parents in general tend to care less about their children's emotions. They feel as though because I'm a boy, emotions are not a thing."
22,0.42%,all_R_1pEFKSqgUhFo2Ys : My location has a big impact on who I am and who I have become. It is a safe place for me to live and a place I like to live. It has been good to me and provided a place of comfort and safety. I have met some great people and friends that I will keep with me my whole life.
23,0.19%,"all_R_vvIAxm5C0cpYuvT : Impacts me in a lot of ways. Being around my friends, coaches and teammates helps me become who I am suppose to be"
24 - 27,1.24%,"all_R_DcwAYA2SpjwiCTD : I live in a pretty safe suburban neighborhood so I guess that would explain why I very rarely felt unsafe in my life. In addition, because my mom is a nurse and we live close to the city I have access to pretty good medical resources. I have not found any difficulty dealing with my gender and/or my identity, primarily because I don't belong to the LGBTQ+ organization, and society is more welcoming to individuals who are heterosexual or identify as a male or female compared to those who are lesbian or gay. In addition, because of that I believe that I am more comfortable going about society, whereas others may be ridiculed in his or her workspace, church, or home. As for my ethnicity, because I am Asian, I have faced some difficulty and racist comments when growing up, but it did not really bother me or stunt my confidence or my appreciation for my culture."
28,0.40%,"all_R_2eRUQppK7U6VDMP : I am always traveling or hanging out at various places so I never feel as if my location impacts me too much. Sometimes, however, if I'm in an environment that makes me feel inferior, I try to better myself to the standards of that area, making myself superior."
29,0.22%,"all_R_1d186U8zXt5VjGe : I live in a safe and accepting place, and I am in a place of privilege so I don't usually fear not being safe except for being a woman"
30,0.43%,"all_R_3lFDqOZloKFHlFO : I am a straight cisgender woman and living in Brooklyn does not impact my identity, in regards to not being accepted, because being straight is considered a ""norm."" I do travel late on the train at night so sometimes I feel like my life might be in danger from male sexual predators."
31,0.28%,all_R_3EbA0M6XRbxbuTM : Living in a nice neighborhood exposed me to the more beautiful aspects of childhood and humanity. I believe my upbringing has made me into the best person I could have been.
32,0.46%,all_R_27JzkeYZLZHZCQD : I have overall lived an exteremely blessed life. My environment allowed me to make freinds and get a good education that many others havent gotten the opportunity to experience. My parents are loving and have always pushed me educationally and to try new things. Ive overall felt safe in my environment.
33,0.16%,all_R_2TMjSbrHo2ZLCbY : my place of residence enables a good security and the possibility to realize oneself.
1,0.68%,"all_R_xuBkHekC49B0sMx : I live in South central Ky. We are in the Bible Belt. My husband is black, and we are both overweight. It is sometimes hard to overcome such stringent discrimination, as most people here have a 1950 mindset. The hateful stares and eye rolling is sometimes hard to deal with. I am more offended than my husband is by these actions. He says that he is just accustomed to this treatment, and he does not let it bother him. I have so many thoughts as to why that is wrong in about 10 ways. No person should have to get used to such abhorrent treatment. Racism, sexism, and classism are still prevalent in the South."
1,6.63%,"Living in a rural community, I fit into an almost stereotypical role. I am a heterosexual, caucasian male from a nice hardworking family."
01-Feb,0.15%,all_R_1QWbphCJSp8mguZ : I think that my geographical location has not hindered me in who I am and who I am becoming solely because of the internet.
3,0.09%,all_R_2eOsXde8nP1u399 : I do not think my location impacts my identity or well being.
4,0.45%,"all_R_2rjali6znLKa9IA : I live in a very racially divided area that isn't very accepting despite being fairly liberal. Since coming out I've experienced much more discrimination than I expected I would, and this has had significant impacts on my mental health and, at times, safety. I do know that I am somewhat lucky to live where I do because accessing support resources is relatively easy, especially given my stable financial situation."
5,0.33%,all_R_2BtZVJFvGR1WIgs : while utah has alot of protections for trans people and good laws in place the people of utah show another side. other then pride week am i a sin a disgrace a flaw in humanity unnatrual and treated as lesser. i have to plan my trips to not exit the car at certian places because i fear for my safety
06-Aug,0.16%,"all_R_31Qylnr7ywGiq5G : I live in Belington, Wv. It is a very religious and redneck town. As a bisexual genderfluid immigrant, I face ridicule every day"
9,0.36%,"all_R_3JxCMMvw2n2EMjn : I live in a conservative-ish Portland bedroom town, and I am a little concerned about going into the workforce as a visibly trans/queer person. I have a job interview today at a big chain retail store and am a little concerned about wearing my pronoun pin, but also don't want to get misgendered the whole time. It is a struggle."
Oct-13,0.33%,"all_R_4VCnUJWfx2bmMtH : I live in one of the most conservative counties in Colorado (US). Our sheriff and county commissioners have very openly and publicly refused to support safer-at-home orders from our governor. Overall, very pro-gun, anti-LGBT+. Lots of racism and xenophobia toward our high immigrant/refugee population."
14,0.24%,"all_R_2aGXpjC0XQBP0Pv : The United States does not care about my health. I am Queer and of Mexican/Jewish descent. They do not give a damn about me, and Trump is allowing doctors not to treat me if I get COVID-19 because I am transgender."
15,0.48%,"all_R_3qxuxyMrygNzDSU : My location impacts me because I had no choice in living under the laws that benefit most others but repress me or my rights, and thus my opportunities regardless of qualifications--I get to see discrimination because of living through it, having no choice when it happens to me other than having my own voice. My location impacts me by my awareness of my surroundings, from class, to race, to age, to social connection, to accessibility of idea."
16,0.27%,"all_R_25SDnnbl0Kzdkun : Living in the middle of nowhere is weird, even though its a college town. All of my friends are queer, but none of us are from here, and people that are from here look down on us a lot. I do not feel safe or welcome in my community at large."
17,0.66%,"all_R_3EMbHtkTEM4a6ol : I was raised in the LDS Church but my parents allowed me to choose whether to attend services. I stopped attending at age 15 and formally withdrew my record of membership at age 23. The state-level government is majority LDS and this impacts many laws. LDS membership is not as popular in the Salt Lake City area, so I feel more comfortable near Salt Lake than in other areas of the state. I am in a straight passing relationship and only came to terms with my bisexuality a few years ago, so I have not experienced any significant discrimination first hand, but my heart hurts for other LGBTQ folks in Utah, especially young adults."
18 - 19,0.28%,all_R_25L1pYtsfxZiMC4 : My geographical location is both negative and extremely harmful to my emotional and mental wellbeing. The hate crimes and mindset against LGBTQIA+ individuals is a constant in my life. I am stressed and and depressed nearly constantly when out of my home
20,0.48%,"all_R_DHJEb9pE4FWnxO9 : I feel that thereƒ??s a lack of knowledge about LGBT+ community issues where I live. Gender and sexuality are rarely acknowledged by people Iƒ??m not close friends with already, and Iƒ??ve faced a good deal of harassment and discrimination, mostly at work, because of my gender here. Despite its reputation as an open, progressive city, I feel that a lot of discrimination happens out in the open here and nobody notices enough to do anything about it."
21 - 22,0.86%,"all_R_20ZsRh8jYlOgPTx : I live in a very conservative area which can make it difficult to find places where I will be accepted. I had to leave a church because of that, found a new one after a few years and a lot of grief, I currently work at a progressive place that in theory accepts trans people but Iƒ??ve encountered an amount of transphobia from coworkers. I want to find another place to work but Iƒ??m just so worried about how they will deal with me being trans. Passing isnƒ??t a thing for non-binary people so going stealth isnƒ??t an option. If I ever want to be accepted for who I am I have to out myself. My parents love me but I know they donƒ??t think what Iƒ??m doing is right. Theyƒ??re conservative Christians. Iƒ??m thankful we have the relationship we do but it makes me sad that they donƒ??t understand or accept me for who I am."
23,0.28%,"all_R_2dNpDs2EV5xhlts : I dont live in a place with easy or affordable access to LGBTQ healthcare or anything, so I havent been able to start medical transition yet or anything. I'm not out in a lot of places because of that because I worry about not passing and being unsafe"
24 - 25,0.39%,"all_R_yR3lQFWCsc2F6Nz : I feel like I live in a fairly liberal and safe area. Sometimes I do get nervous ƒ??showing offƒ?? being queer, neurodiverse, atheist but mostly feel okay being myself. There are some things I definitely do not feel safe or comfortable doing/wearing outside of the house for safety reasons (certain queer clothes, acting autistic in front of cops/authority figures)"
26,0.26%,all_R_1gwHHSOfAO9G9cz : I think that living in the bay area is one of the more open and accepting places to be. I find that my sexual orientation of asexuality is largely misunderstood and not taken seriously. I don't believe this is related to my location.
27 - 29,0.40%,"all_R_3JtlJ56l3uclR3l : Portland, Oregon is a very liberal town, and has pockets and islands which are definitely havens for folk in the LGBTQ+ community. That said, there are still bigots, rainbow flags get stolen and vandalized, Proud Boys come to town and dogpile folk that don't fit their idea of 'Murican, and queer acceptance is not universal. Nothing is perfect, but Portland is trying."
30 - 32,0.38%,all_R_2S7gCCumj5zQOF7 : Living in Missouri limits my access to healthcare (because they refuse to expand medicare - we had health insurance through my wife's work but she is now unemployed). It also is a detriment to my mental health in that the surrounding community is largely hostile toward queer people and our lawmakers make frequent attempts to limit our legal rights.
33,0.82%,"all_R_3iVG9N6MYTSEBib : The high degree of conformaty present in Utah also manages to create an environment in which counterculture groups provide meaningful touchstones for non-conforming persons. I have found that the SM community is quite dedicated and valued amongst its members. I have been largely isolated from the BDSM community in the months of Covid-19 precaution and that absence has negatively impacted my health and self worth. The prevailing religion is also a cultural force. When I worked for a Mormon organization, my outgroup status made me feel extremely devalued. It's hard to avoid that feeling in this state. I have a lot to say about how unsafe I feel in this state, how my childhood was fraught with rejection and sadness and how those thoughts persist. Thank you for doing this research."
34,0.14%,"all_R_1opVqtXQyZ4dgxI : I live in a conservative part of the country, which makes it really hard to just be myself and be openly transgender."
35,0.41%,"all_R_2t36qEYTXr0izeZ : Living in Texas, even in San Antonio, isn't safe for the trans community. Last week, a transwoman was stabbed to death because ""god sent this guy"" to kill her. I live 5,000 miles away from my husband, one of my biggest sources of social support. I have some support here, but living away from my husband has a massive negative impact on my emotional well-being and overall stability."
36 - 37,0.39%,"all_R_1SlZMhMWxgEwGFr : Living in north Texas with no transportation is a close to impossible scenario for anyone existing on the spectrum. These communities are often very conservative, heavily invested in institutionalized racism and discrimination, with zero infrastructure in place to help those identifying with normative paradigm. Living here is a nightmare for someone like me."
38,0.73%,"all_R_1LB5LpZ13lBga46 : Phoenix is family orientated with a strong republican foundation for values. They do not have a large LGBT population and make active strides to limit LGBT events &amp; functions. As a working professional, Phoenix provides great job growth and competitive salaries. With that being said, Phoenix does not provide a sense of community and makes it nearly impossible to meet other LGBT individuals. As a young adult (22), I am actively seeking to relocate in hopes of meeting other like-minded individuals &amp; to be become apart of a community. Phoenix isnƒ??t the worst when it comes to LGBT representation, but it does create a sense of loneliness due to the lack of community and resources."
39 - 41,0.40%,"all_R_2dTlczEjzzIDL1Q : Very few folks around here are anything but white, christian, and straight. Being a queer transwoman who semi-follows a non-abrahamic faith I don't fit in, at all. 95% of the time this is fine, the other 5% is where you get some bigotry shining out. I've never been physically attacked in this area, but I've certainly been treated as less than human due to being trans."
42,0.29%,"all_R_2ysJOVVmtkjEyTB : Santa Fe is better for transgender people than where I used to live, Flagstaff, Arizona, but still presents problems with transphobic people. I identify as non-binary, transgender and genderqueer. You did not allow multiple options. My wife is a transgender woman."
43 - 44,1.91%,"all_R_2eXBZZiMB0KLL6F : Im an FTM transgender who live in the less open minded side of israel. I rarely go out of home and stuck with no job for 2 years now. My mother is my emotional support and is the sole reason i havent killed myself yet. I do have a circle of friends who are like a family to me but they live far away(in the tlv region which is 3 hours away on publoc transport.) My health is bad because i have mental issues and born physical issues (i am facing with weak immune system severe allergies to common things and I have endometryosis, which is basically my female reproductive internal organ slowly killing me, at least thats how it feels), whenever i end up in ER *sometimes* doctors refuse to take me in because of my transgenderism. So whenever im ill i prefer not to face any unfamiliar doctors. Tbh i used to work in sales and was assulted, and even though i filed a charge no one did anything, Since than im kind of really scared of people. So even though israel is really accepting the gay/lesbian theres still a long way with transgenders that no one talks about. Since i mpved back with my parents to my old hometown after the assult no one hires me (worked in tlv previously), and lately i feel hopless when it comes to standing on my own. I have my friends and i have a band which i hold onto dearly. But thats it. I cant see myself getting a proper job bec ill always have to face strangrs. And im terrified. Its been 2 years and i cant face my fears yet.israel claim to be the 'wokest' country in the middle east but thats a huge bluff. The gov is fine but the people themself. Theres still the harsh middle eastern brutal mentality, that you cant escape . I often think that there might be a good place for people like me, i often dream of canada, but i know, thats just it. A dream. Im sure thats also illusion. And that theres no really safe space anywhere ."
45 - 47,0.37%,"all_R_3JxvrQO5Nac2T0T : I live in a very Mormon region, and come from a very Mormon family and heritage. Mormonism does not recognize trans peopleƒ??s identities and they openly pathologies non-heterosexuality. That deeply impacts the perspectives of my local community, family, local laws, and my access to adequate medical care, especially mental health care."
48 - 49,0.31%,"all_R_R4gI8pkbK0QkiTT : I live in Arkansas. Which has come a long way in dealing with the LGBTQ. But I still feel like I canƒ??t come fully out of the closet. Luckily, my husband is very supportive of me. I feel like because Iƒ??m married if I were to come out of the closet as Bi nobody would believe me."
50,0.45%,"all_R_2XoFE3rQ8iLZYJ0 : I am a Latina living with my White girlfriend in West Oakland, which is heavily gentrified. We have monetary support from family until Covid ends then we have to find jobs. My girlfriend has PTSD from a bullet entering her house when she was there and there are often gunshots (less now after covid). Ableism in the world (disguised as a ""work ethic"" value) in the context of capitalism is the main thing keeping me down."
51,0.23%,"all_R_2tnVljaGGNF2JOV : In Austin Texas, my LGBT status is less of a problem than it would be for me in other cities, but I still stand out and occasionally am discriminated against. I am misgendered frequently, and intentionally."
52,0.58%,"all_R_RCcsehleciteGM9 : I donƒ??t really know many other queer people here. There was an openly trans guy in one of my classes and a trans woman in another, both whoƒ??d already started there transition. As someone who hasnƒ??t started anything and might end up being non-binary, I didnƒ??t really feel like I could talk to them about being gender queer because I donƒ??t know they might be transmed or enby-phobic. Besides that, everyone else kinda seems to live in a queer free world, and you canƒ??t tell whoƒ??s queer-phobic, awkward around queer people, or an ally"
53,0.24%,"all_R_RKW4ZqpO4wPxlRv : I am very lucky to be where I am. I have good access to reliable trans-oriented healthcare that is covered by my insurance. I am outwardly trans and though my area is accepting, I still do and have faced bigotry."
54 - 55,0.31%,"all_R_2ds8I75fCO2eiWc : In some ways I am very, very lucky. I have a loving husband, a house, and many lovely animals. Where I live is on the surface very accepting. However, we have one of the most famous TERFs in the US living here and she's found a lot of support. Also, Black trans women keep dying."
