ref,coverage,content
18,0.15%,all_R_2tApJRgBtcN1CFT : The geographic location I live in is a pretty quite neighborhood so I do feel safe walking outside
19,0.23%,"all_R_2zZShE6rckpFNQ7 : Due to my location, being in a great country allows my safety and health to be of good quality and my relationships to be stable without having any fear of anyone"
20,0.08%,all_R_qQPlFj7ZkWWOwj7 : I feel safe because of where I live
21,0.30%,"all_R_vi6KYm6qbv9W8Qp : My location is a very safe place to be in, everyone knows everyone here, and it is very environmentally friendly. Relationship wise everyone is kind to one another and is protective and respectful towards each other."
22,0.45%,"all_R_1IdeVMGFrH5cVxG : My hometown is very safe when it comes to physical health. It's a small town; therefore, there are not many places to go for mental health help. Especially for minorities. For a teenager, who is a person of colour, everything feels predominantly white. The ostracizing doesn't come from peers but mostly adults (specifically teachers)."
23 - 24,0.12%,all_R_3KSWBmwmuvQEc7F : It is good it is safe good resources around me nice friendly people
25,0.14%,"all_R_2pVOr2u8GK8c37S : My location has access to health care, safety and you can build relationships here."
26,0.14%,all_R_1LNZMItga9zcBlQ : Overall my location actually helps me cope with problems and is very safe in my opinion.
27,0.09%,all_R_3NKzCuFby0Od0ej : I feel safe living in the suburbs of Chicago.
28,0.21%,"all_R_064Pp88kmVB0WfT : The area I live in is always crowded and has a lot of traffic, so it does not make me feel safe all the time with all the cars on the roads."
29,0.26%,all_R_tLMIC8k3AkfCQEN : My location does not have much of an impact on my safety because it is somewhat a secure environment. My geography has a positive impact on me because of the accessibility to services.
30,0.32%,all_R_V3aMEDtWOoJTOBr : I have optimal access to resources and my own space in my home. I feel safe in my hometown and neighbourhood. This may impact my mental well-being in a positive manner as compared to someone who is stressed about their own safety.
31,0.19%,all_R_OQlYvzdJgzC7hbX : I feel safe and comfortable where I live. The neighbourhood is pretty nice and I also happen to live close to many friends.
32,0.19%,"all_R_2rCMgLH23Lg23Lq : I live in a pretty good area so my sense of safety is ensured, as well as my health and my relationship with those around me."
33,0.19%,"all_R_qX8fymY9giJIEpj : Location helps my health and safety, but can be slightly more difficult for relationships outside of the place I am living in."
34,0.16%,"all_R_2CTJEXbT4SBVda5 : My location has greatly impacted my well being in a good way, my location made me feel safe and accepted."
35 - 36,0.24%,all_R_3M4fdqrdxW681km : My neighborhood is populated mostly of older couples and big familys . it makes me feel safe and welcoming thus it impacts my mental health and saftey in a positive way .
37,0.21%,all_R_2OT7xZ5AsSmQ5EN : My area is mostly lower-middle class and is mostly safe/quiet. Very rarely does any incidents occur of which have not had any affect on me.
38,0.56%,"all_R_1ltphs8Yqe84p45 : I'm certainly grateful for being able to live with my sexual orientation being out and accepted. I feel like I don't have the same opportunities as other people in my society because support for my physical and mental disabilities is so meager. I feel like I'm missing out on life. Generally I feel safe, even if the police refused to take any action against my neighbour who threatened to kill me due to my sexual orientation."
39,0.67%,"all_R_2fdPxB1am3jc8uc : My location and access to different nearby services definitely give me a stronger feeling of security and safety and improves my health because I am typically very grateful, blessed, and satisfied with how my life has been up till now. Furthermore, I have access to numerous friends and relatives nearby which puts me in a very affectionate and caring environment. Altogether, my geographic location definitely increases how much my opinions and dreams are supported and increases the overall quality of my life."
40 - 41,0.49%,"all_R_bwQMMUQMOCVBUe5 : The area where I reside in is filled with many resources available to me. I have a good and happy relationship with my family as I can talk to them about anything. There are good schools near me with proper resources to achieve my goals. I also have goos support from my friends who also live near me. There is very little violence where I live in, it is a safe community."
42,0.40%,"all_R_2afPDIrZOMnoFiQ : My location plays a huge role in my safety, health and relationships. Most of my immediate family live within the same area. My school is very close to home which makes it convenient to see my friends often. There are several parks and recreational centres near me to help with my mental health."
43 - 44,0.14%,all_R_oZ8SBeLmKxokCaJ : I live in a fairly safe community. It's nice and my neighbours are quite friendly.
45,0.58%,"all_R_570b2plmongx90R : My location is suburban. I live with my mom, dad and sister (26) while my brother (29) lives in Virginia. I feel very safe where I live and I have a good relationship with my family. I moved to my current location the summer of junior year of high school so that had an impact on mental health. My location doesn't have much of an impact on my life. Recently, it's been more about social life, and school that has effected my health the most."
46,0.18%,"all_R_3HhLvv4mzbgPtJK : My location is a very safe location and does not impact negatively on my health, relationships or how i get around town."
47,0.17%,"all_R_cwlH0yKPAe7udkB : it is a very safe location, it is far from my family but it is close to my friends and it is a good community"
48,0.35%,"all_R_3KqKLbwY35hzPmg : I feel lucky to be raised in a country such as Canada, as the general environment here is very good. I lived in a good neighbourhood, which lead to good things about the relationships I developed and my safety. My parents took good care of me and my health."
49,0.19%,"all_R_2aramWWtNoXFOYG : I live in a quiet neighbourhood with old people so nothing really bad happens, I don't identify myself as a visible minority"
50,0.24%,"all_R_2YFaNeQCVyiclSw : In Rowlett Tx, I feel mostly safe! I wouldn't feel comfortable here going out openly in public with a partner though. But I am not comfortable with PDA in general."
51,0.18%,"all_R_2uqtZNvyi0vnwkU : I live near my cousins, so since we live so close it is easy to keep our relationship strong. I feel safe in my community."
52,0.65%,"all_R_5v8dCpffvnADLdD : While technically I live in a ""ghetto"", I've never really felt the fear that ""should"" come along with it. While crime is higher than it is in other neighbourhoods, it's quite understood that if you respect other people and don't go meddling around in their business, they'll treat you the same way. Honestly, living where I live coupled with the people around me (although I cannot consider my family to be poor) has probably skewed me in the direction of disdain for the rich and societal wealth gaps."
53,0.44%,"all_R_2sYEAh4zG6Oe8QY : I don???t necessarily live in a ???bad??ù area, but it???s not completely safe. The homeless population is high and the drug use is high as well. I have to go out of my city to get the health care I need. It???s still the same county, but outside of Anaheim. My church is outside of my city as well and I???m thankful for this."
54,0.20%,all_R_27jOpMS0hVDb5GG : where i live is a safe place. I grew up in this area so I have close relationships with people in the area due to middleschool/highschool.
55 - 56,0.75%,"all_R_1r2rEuOdrpv1ji3 : My location is what is known as the ghetto. There are often police cars around, but we only sometimes know why. It makes me fearful for my safety, especially walking home alone at night. Often, the glass in our lobby will be broken, either from someone trying to get in or maybe a fight. That makes me worried that someone unknown is in the building and it's not like we have cameras for our safety. I am close by to my doctor, my workplace and my school so the area is not that bad. I live with my parents so I see my family every day, making our relationships in a good place."
57,0.21%,all_R_2YPpzCUf2XNbFOn : i live in a safe neighborhood with no issues with surrounding people or the area in general. my location does not impact my safety or health
58,0.17%,"all_R_2rBCqKDNvY3GFuP : My home is pretty good for me, not too far from school or downtown. I've never felt unsafe in the neighbourhood."
59,0.23%,"all_R_1JOYQWAOw1bnCAU : For the most part, I feel safe in my community. Most of my family also lives in the general area, which is helpful and I wouldn't want to move out of this area."
60,0.34%,"all_R_1puuInuwYaMWHEt : Where I live, I feel safe and protected by my family and friends. And I am able to trust them as well which positively impacts my health. I have resources available to go to if I am sick or in need of any help with also positively impacts my life."
61,1.03%,"all_R_1hB8H9XKvxuc48M : Scarborough is known in Toronto for being one of the less secure areas, however, personally, I find Sherbourne to be the Mordor of Toronto(I.E It freaks me out to go there). I don't think the air in Toronto is particularly clean. All these industrial factories are polluting the air. Relationships in Toronto are the worst. You have to be a 7/10 or higher to find a relationship without unbearable difficulty. However, Toronto still is the best environment for me considering financial supports, health supports, and overall social help. The only place I would rather live in is England. As for my identity, I'm largely a product of colonialism as arguably most people are today. Honestly, I think I have identity issues and sometimes can decide what I identify as(depending on the sort of identity."
62 - 63,0.38%,"all_R_2Pcz9A4lRIKvyMF : I live in a very sheltered suburb with the rest of my family. access to doctors is very easy and infrastructure is overall good. crime rates in my town are low and i have plenty of friends nearby, despite being unable to interact with ant of them because of the current crisis."
64,0.81%,"all_R_2ru6Yt4mj4I15Jb : Certain geographic locations can identify the socioeconomic status of an individual. For example, an area with many amenities such as malls, restaurants, hospitals, etc. would most likely include residents with a higher socioeconomic status than an area with a lot of poverty. Living in a country like Canada, which is a first world country, and a neighbourhood that is surrounded by the essentials and more, it makes my life a lot easier and privileged. Health and safety wise, I live in an area where crime is low, security is high, hospitals are just minutes away and friends/family are a short drive or public transit ride away."
65,0.25%,"all_R_0p3StykfZxJYzKN : Due to living in Toronto, I am pretty comfortable in my shoes. Most of the time I love all of my identities and since I live in Canada I'm pretty safe with my sexual identity."
66 - 67,0.41%,"all_R_25EY9f4LHf6RVIv : I live in a very decent location. I have lived in the same house since I was a year old, and it has always been enjoyable and safe. No crimes or violence have occurred in the area. Even as a small, black woman I don't have much fear walking my dog at night (though I remain very aware of my surroundings)."
68 - 69,0.32%,all_R_pbZK4rVoOmtevfP : My geographic location has been very close to home for my family and I. There has never been discrimination against my ethnicity up until recently. the neighbourhood is generally pretty safe with a bit of robbery here and there.
70,0.40%,"all_R_3NI0FJgBAdayqaJ : Canada to me is a safe and open country. Being far up in the north means that the weather is generally cold. The cold weather discourages me from going outside, which can be a negative influence on my health. Other than this, I don't think that the geographical location has a big influence on me."
71 - 72,0.23%,all_R_21vKKrADNhJZKbb : My location comes with may benefits that have aided me through out my life such as a sense of safety and security as well as opportunity???s for advancement.
73,0.25%,"all_R_2du6qG19gU5M9S2 : My neighborhood is pretty dark at night so when I come walking home from work around midnight, i often think very much about my safety and making back home without any problems."
74 - 75,0.11%,all_R_22GtFFa23rOsSuN : it is a safe location because we do have security at lobby.
76 - 77,0.57%,"all_R_3q84m912ZQ4iaoy : I live in a relatively safe neighbourhood. I know most of my neighbours and can have conversations with them, which helps to maintain relationships. The neighbourhood I live in is close to a lot of schools and parks, which makes it safer, as there are a lot of children living in my neighbourhood. Living in Canada makes me feel safer and there are many ways to travel to see the people I know, such as friends or my significant other."
78,0.18%,all_R_bwk8WS5xokpTWE1 : I live in Scarborough Ontario. The location is a safe environment and impacts my relationships and health beneficially.
79,0.39%,"all_R_3D7qelhjHAR9wqU : My location impacts my relationships with family members as almost all of my family members live in a different country or in the other end of the city. In terms of safety, my neighbourhood is a quiet safe neighborhood where I feel comfortable walking around by myself for the most part."
80 - 81,0.29%,"all_R_1FkWLH2nLhx9he2 : I am currently living in school provided resident. The resident advisers are really kind and helpful, and they are really supported. The place is also really secured and it is close to all essential stores."
82,0.35%,all_R_bJYwX0eB6u8YCsN : My location is rural and in a decent area despite the fact that some crack heads robbed our garage last summer. Hopefully that wont happen again but thats really the only reason i am ever on edge. i am about that action 24/7 now so we do not get heisted again.
83,0.10%,"all_R_6mWVzij17lFwFHP : It's a nice home, not too much crime, kind of cold though"
84,0.52%,"all_R_1r0LRJQbyISLGx0 : Where I live has impacted me slightly. Most community members are nice which includes, businesses, neighbours, convenience stores etc. Im happy that my neighbourhood is a safe place where my safety and family relationship is unharmed. My area is a hotspot where we have multiple options for transit, many superstores and restaurants, and other entertaining places to go. Happy with where I live."
85,0.26%,all_R_3r06ohy79BRECff : Location: Courtice - Unsafe location - Crime probability higher than others - Large amount of drug abusers - People arent as nice compared to smaller towns i.e Newmarket/Barrie/Aurora
86,0.17%,all_R_Xj6ogxGEivDN0kh : I have a lot of resources near the place I live in. I feel very safe and can ask for help whenever I need it.
87 - 88,1.47%,"all_R_xzS9fYToU82qVy1 : So I live in a neighborhood that is constantly presumed as a dangerous place but in my option, bad things happen everywhere. It's been over a year since I was almost robbed by 3 kids around my age right in front of my own house, this was a month after moving from one part of my community to another. This made me feel really unsafe because I could have died that day but I managed to get away even though these people had a knife pointed at me. The part that had me really concerned about my safety was that there were people nearby getting into a car who decided to pay no attention. After this, I walked on the opposite side of the street for months. Don't get me wrong growing up in this community was the absolute best even though we didn't enough money to do all the things kids had the opportunity to do we still made it fun. Growing up gay in a community predominately black people it was hard to come to terms with who I was because of a lot of negative stigma and bullying towards LGBTQ+ people. But as a child, I'd always look forward to the community barbeques because that's when the best of people would come out, everyone was treated like family."
89 - 90,0.26%,all_R_12QLnAw1v4RGDPm : I would like to think that I live in a safe neighbourhood with very kind people. I was able to meet a lot of supportive friends and neighbours as well. There is easy access to resources
91,0.55%,"all_R_2c0IdeHYIe0VqEP : My location, Markham, ON, often makes people think that I live in a vast amount of wealth, which I do not. I've had people tell me that I would not need OSAP because I live in Markham, when in fact, I needed a lot more than my peers that live in, for example, Scarborough. I am pretty safe in Markham as robberies and shootings here are minimal, my health is also okay for the most part, but mentally, I am not well."
92,0.30%,"all_R_28ZqkUedkvCaQip : My location impacts myself because of all the violence that takes place in the city, I feel my health to be fine also as well as my relationships because my location does not really impact that for me personally."
93,0.22%,all_R_2AF4tYwdjA9iRhO : My location is a nice neighborhood. There is ample green space to walk and my neighbors are nice. I like my neighborhood and i feel i belong there.
94,0.22%,all_R_6hBRyaRD9YjAWWJ : If born in a safe place (without war) or a place without stereotype then my life will be safer and i will be more healthy and have good relationship.
95,0.26%,all_R_10oOy7v05E3C5nn : I live with my parents in a middle class neighborhood. My relationships are strong with the people around me. In this environment I have access to healthcare resources and I do feel safe.
96,0.29%,"all_R_en859ZJZDogk33b : Where I live has made me appreciate how important it is to build good relationships with people in my town. Everyone knows everyone since it is a small town, therefore it is important to keep good company."
97,0.21%,all_R_110ZMdwGxPGjr3W : I live nearby USC and honestly I feel safe. I believe this is so mainly because there is security implemented to protect the college students
98,0.13%,all_R_2TFPaI9kVYHjO82 : My geographic location makes me feel safe I can go on walks if I want alone.
99 - 101,0.25%,"all_R_2dmY4fzIB5Cu7hv : I feel very safe and happy within my community. Everyone around her is relatively friendly and helpful to people. There is not a lot of violent crime, or any real crime at all."
102,0.16%,all_R_u82TDBqX67qNakV : My geographic location is in a nicer area and I don't have to worry about bad things happening around.
103,0.33%,"all_R_3Ic8VGnAKyI4mZE : My location, makes me feel safe to walk around with little worry about what might happen to me, but I still do get nervous sometimes. For my health, my location is good because I can walk to the park or a store and it would be a good exercise."
104,0.68%,"all_R_26c2KlhAwUPGGHb : Honestly, I don't think that my location has any impacts on my safety since I live in a quiet place. The same applies to my health since we have really good healthcare and it is required for everyone to have insurance so I don't think that's an issue either. For relationships I really never thought about it but I guess it does not impact me since I have not had a problem with it. Also, I never felt like my identity has ever affected either of these issues either. Overall, I think I am good with my location and identity."
105,0.11%,all_R_2dFpISlGDmOJtgi : The street next to mine has had the police called on many times.
106,0.32%,"all_R_3npI478QKQvx7Pr : I believe my geographic location might have an impact on my safety to a degree because Stockton is known to be a pretty dangerous city. In terms of health, I feel like living where I do keeps me away from a more social environment."
107,0.28%,all_R_3L08WIYy3g2zx9E : I feel like location does impact safety and relationships. I feel safer when I'm at home with my family then when I am not. I also feel more loved and less lonely when I am home versus when I am not.
108,0.13%,all_R_z5VwF8WyYH81fFL : There has been a few break ins in my community as well as homeless roaming around
109,0.58%,"all_R_1QLCGqbQeQajOeZ : I believe that being in college provides me with a more free atmosphere. I am able to make most if not all decisions for myself and feel like I have more responsibility and ownership of my life than if I were to be at home. I am also surrounded by friends. Being home though is good or my physical health, I m able to eat more, I feel safer and I don't have to worry about money, but I'm around parents more, which stresses me out a little more."
110,0.10%,all_R_1MLGUR5PoXfNOa7 : The location is pretty safe since is close to school.
111 - 112,0.18%,"all_R_3n89MI1IKDfWC0p : My location impacts my safety and health because I live in a dangerous city, where crime is committed on a daily basis."
113,0.14%,"all_R_XZj1KWVokKgoF5n : I think that I am in a location that is enough for my safety, health, and relationship."
114,0.08%,"all_R_3RrsFZUpDFheq8U : My location is pretty safe, mostly quiet"
115,0.13%,"all_R_uwuqbtdWZpArhUl : I think my location has a strong impact on my safety, health, and relationships."
116,0.30%,all_R_25L6AO0Ym9u5GdE : Location impacts my safety because its not always a good neighborhood but within our my family we take care of each other. Our health is good because my mom who is a single mother makes sure we take our nutrients.
117,0.48%,"all_R_3kce9mlMPcqC5qm : Location impacts almost all aspects of my life. In Merced, California I feel more safe than I would if I were staying at the house I grew up in back home in Stockton, California and that is simply due to the large difference in crime rates within these two locations. Merced feels more calm whereas in Stockton you need to be aware of your surroundings more often."
118,0.60%,"all_R_7PZBao8Fmu1CxMJ : I'm in the US, in San Fernando, based on where I am I can say that, for the most part, it's pretty safe. When it comes to my health it's great, but it's when that changes that It may be a problem because I have the school's health insurance so I don't know if it's accepted everywhere. Being in a city, rather than a more quiet, open land is that there is always something going on and there's more opportunity for distraction and avoiding deeper conversations."
119,0.08%,all_R_1H0K8zFLkXX2h2X : safe inside home and for health reasons
120,0.35%,"all_R_3j8Lk9rTpWvGCfU : As someone who did not use to live in the US, I definitely think my geographic location has allowed me to feel more safe, and the open culture has allowed me to feel more comfortable with my self, and to do more than I would've done if I did not live here."
121,0.31%,all_R_1oupPHpqi74oG6k : Where I live is sketchy in some areas which are hard to feel safe going on walks or running alone. The nearest hospital is about 15 min away which is not bad and groceries are further but there are small local ones as well.
122,0.21%,"all_R_2VDANr2OPkOtu8t : I live in an area where there are many shootings and gangs, so going out by myself sometimes is scary, however usually people keep to themselves."
123 - 124,1.09%,"all_R_2PdsSBr9LJyRJCu : In my enviroment, Garden Grove used to be a free drug dirtict until one day, there were teakers and many there began to be people with addiction problems. My cousin was affected by this and lost his family, job, and life. he has been in jail four times and he is still trying to chnage his life. For hispanic families its normal to have someone in jail. This is normal ofr until it comes to deportating family members. over all I think Garden Grove is a great place to live there is not much violence and I feel safe where I live in whereas, Santa Ana or Anahiem those cities have the worst safety. Those are considr the party hard, drugs, get drunk, and probably get shot or killed. This is sad and stresses me because I live between these two cities and I also have family and frinds so its a struggle to keep up awareness everytime we go visit them."
125,0.25%,all_R_9L8VHfhBbKbcNMZ : I live in a safe neighborhood so there are not any environmental factors that impact me. The only thing that affects me is the weather but that is not tied in with the location.
126,0.75%,"all_R_ZCWuZOWFA9G8t9f : My geographic location can be considered a safe small town, predominantly latino which makes it feel as a community. There is access to health facilities which makes it easy for people to seek medical attention if needed. The only downside would be that because it is a small town, relationships matter in the way that there are 3 or 4 high schools and most people know or have heard of each other so there's this implied ""reputation"" to uphold because things spread easily. This can be harmful in the way that if there are bad rumors being spread this can cause bullying or shaming."
127,0.59%,"all_R_3KVDHzM7IyrAw88 : I live sort of in the country so I don't have as many neighbors as the typical person who lives in the city. I live around a lot of orchards so they can bring peace sometimes. I was robbed a few years ago so since then it has been tough feeling safe, but we also have a security system now I feel safer. The biggest health problem is that I have asthma and theres a lot of dirt and pollen by my house so it can be a bit tough to breathe sometimes."
128,0.16%,"all_R_3q8APAAYgMBdBiS : I live in a safer neighborhood, so most of the time I do not have to worry about my safety or my family's."
129,0.54%,"all_R_1N4IosedMZVeNOK : My location plays a small role on the impact it has on me because it still allows me to have access to resources such as hospitals, clinics, school, etc. My location feels safe and does not make me feel like I am posed with a threat to my own safety or well being. This location is also small which allows for easy access to my friends and family, enabling the relationships I have to be consistent and well."
130,0.22%,"all_R_1lv3hyZnCZ7PR8P : I believe where I'm from is very diverse and somewhat open to different opinions and perspectives. With that in mind, most of the time I feel safe."
131,0.12%,all_R_2ur27rWJZwD4bIW : I live in a safe community with a loving family and friends close by.
132,0.18%,"all_R_333vHIy9u0GmXkf : At my location I feel safe although, sometimes I am far away from my family there is always someone there I can count on."
133,0.28%,"all_R_3m8Ak0m4BX5tOOQ : Where I live gives me a sense of safety, I use to live in the other side of my city and i felt at home there but I wasn't safe. I could go for walks now without feeling uneasy for most of the time."
134,0.13%,"all_R_3lWIbon95Sj70Aj : I live in a small town, most of the time there's not much things to worry about."
135 - 136,0.36%,"all_R_3GyajtU65btXE9l : My location is somewhat safe. Meaning there are some unsafe things that happen like, robbery or gangs killing people but overall I feel somewhat safe. I feel safe because my town is mostly latinos and I feel I can be myself and I have my friends who live here as well."
137,0.29%,all_R_1cYQuQkIb8FJG76 : My location is pretty safe overall. I think most people are being cautious during this pandemic. I am living with my family and my relationships with them are decent. I think I live in a good neighborhood.
138,0.18%,"all_R_1eLzmc2HQnLHXsG : I live in a neighborhood in which gang violence is very common, and therefore is dangerous to do certain activities"
139,0.29%,all_R_2dEyxGIvcVtExGr : I believe that i live in a fairly safe area there are not a lot of people around and because i live near more at risk people those being over the age of 55 people are more careful in my area so i feel safe.
1,0.22%,zero_R_ZlwwLcK045XD3Hj : I live with three roommates and surrounded by many neighboring friends that I am very close with. It is a pretty safe area as well.
2,0.36%,"zero_R_ZdTItTqRwI2ykgx : My location impacts my health in that the food in the cafeteria is unhealthy. Because of this, I have gained some weight. I feel pretty safe at the school. Going to school at siu has made me have more relationships with better people."
3,0.09%,zero_R_3GfE6dZlLmL1IO3 : my geographic location is very safe
4,0.34%,"zero_R_1SVVAKqQWlhWwQF : Yellow Springs ohio is very liberal, I grew up feeling safe in a community that had open welcome arms and that was always ready to help anyone. I feel as if this made me the strong assertive happy person I am today."
5,0.75%,"zero_R_10CmPcuCDGmAckV : My geographic location both at SIU and back home are good. My hometown is right next to the capital of the state (it's only a 10 min drive) so I have access to any resources that I would need for both mental and physical health. Since I don't live in the city I feel safe, even when I am in the city I have never felt unsafe. The Springfield Police Department does a good job of keeping everyone safe. SIU does a good job of providing for all of our needs as well. They also do a good job of keeping us safe on campus."
6,0.24%,zero_R_3lLyTcVtnnQRC9i : I live in a good suburb of St. Louis where I have a lot of friends. I never really have to fear for my safety when I am out and about in the area.
7,0.25%,zero_R_XnMNMRB8Re2D4Nb : where I grew up it was a very small farming community where everyone knew everyone the only safety concern was druggy's. it was a very safe environement.
8,1.03%,"zero_R_23dTFGhgDcGbMjD : I grew up and still live in a suburban town mixed with people of all classes and races. Primarily Bergen County is a higher class and white town so I feel that safety and health was not much of a concern growing up. There are many emergency expresses near by and other services that are easily accessible. The towns police and departments are always out patrolling. The only time I felt unsafe was when my familys home had a fire a couple years ago and was displaced for months. This was because we had to move and learn new ways of getting around and was sort of thrown outside of our comfort zone. Other then that, I personally have never felt a significant negative impact on my safety, health, or relationships."
9,0.20%,"zero_R_vdwoG5GNqyQs493 : I grew up in a fairly safe neighborhood, as a white kid In a primarily white town I never felt discriminated against."
10,0.18%,zero_R_271d3vThmkxQhiD : My location provides many resources for me and is a very safe neighborhood which i am thankful for.
11,0.13%,zero_R_3HHxSVNRCYT1PUZ : My location is very safe and gives me great access to healthcare.
12,0.21%,zero_R_2bp1RudIR8oluEx : my living area some times is a bit scary to be iin but it is never something that is a precaution to deal with or a life hazard
13,0.37%,zero_R_3RdU8p5QkTH6GIl : Safety - a bit worrisome because I live in New York City where there is a lot of increased levels of crime and such Health - does not tend to affect this at all Relationships - boosts it because most of my friends are from where I am from
14,0.21%,zero_R_1IXgTFMTZ1ta7SF : i am very lucky to live where I do. The weather is usually beautiful and the people are overall warm and kind. It is very safe.
15,0.10%,"zero_R_1Lp4nJW0u8KskqY : I feel safe, happy and healthy where I am."
16,0.34%,zero_R_3rGribQ0efgcvkz : I live in nyc and therefore I am exposed to many different types of people from all walks of life. My environments are generally accepting of all people. I always feel safe and have a lot of friends and community around me
17,0.36%,zero_R_2tsr4YRnk70UT3w : spending my time in abu dhabi makes me feel comfortable and positive at all times. i feel like i have a family around me in campus. i constantly feel safe and i am satisfied with the environment which impacts my health positively.
18,0.30%,zero_R_28zI7xv0KkKa4wl : I was fortunate to grow up in a middle class area. Despite some family issues I've had pretty good relationships with my family. My safety and health is pretty good and has not been an issue
19,0.35%,"zero_R_1LdtHVx2Mcu7Has : My location is a bit far away from campus, but I like that it is a quiet, safe neighborhood. There are not many people that know where I live. I have interacted with one of my neighbors before, and that helped ease some tension."
20,0.31%,zero_R_27Qe6twIrA2vDot : I???m from an area that is generally considered poor. I feel safe there. I have access to healthcare within 30 min. I would consider this area somewhat rural even though it is a residential community.
21,0.22%,zero_R_0cGwthKeFvlSEbD : My location is quiet private which allows me to feel safe. Its a relaxing place where I can destress and feel most comfortable at
22,0.13%,zero_R_1kLBJ4ovQTVJVZ3 : I have a very safe home that is welcoming with a supportive family.
23,0.34%,"zero_R_9mkbx4XP000Sbmx : My location is Ozuoba, Rivers State, Nigeria. My location is fairly safe as the whole country is in a state of serious insecurity. There is a nearby Health Centre. And my location has no negative effect on my relationship."
24,0.17%,zero_R_1gFJguu6xFQUHYc : my location is safe my health is good and i have access to good healthcare all of the time.
25,0.17%,"zero_R_3iOK6XGuOfX9Ty2 : I am fortunate to live where I do. I feel safe, have good relationships and its a good area."
26,0.32%,zero_R_29gmaBkevra8IJ6 : Satisfied with location but location may have to change upon becoming elderly. This is an unknown and depends on health. Family is nearby with close relationships which contribute to safety and happiness
27,0.28%,"zero_R_3qJNtp31Xle0DBN : I live on east campus at SIU and I've never felt unsafe and I'm close to my friends, boyfriend, and family. I have a doctor and pharmacy out here as well. I live well out here."
