ref,coverage,content
24,0.20%,all_R_2xzXVi5mGR2PN1E : My current location allows me to feel more freedom and to be the closest with those I relate the most with and can turn to if need. be.
25,0.58%,"all_R_570b2plmongx90R : My location is suburban. I live with my mom, dad and sister (26) while my brother (29) lives in Virginia. I feel very safe where I live and I have a good relationship with my family. I moved to my current location the summer of junior year of high school so that had an impact on mental health. My location doesn't have much of an impact on my life. Recently, it's been more about social life, and school that has effected my health the most."
26,0.27%,"all_R_2AL7hqKrNehqjiS : My location impacts me positively as I am close to my friends and family. As well, I am situated close to hospitals and grocery stores. I feel like my location doesn't impact me negatively."
27,0.18%,"all_R_2uqtZNvyi0vnwkU : I live near my cousins, so since we live so close it is easy to keep our relationship strong. I feel safe in my community."
28,0.21%,"all_R_1Q9NG4XT16PoHIg : I am close to hospitals, clinics, schools, and live with my family. I think all of these impact my safety, health and relationships positively."
29,0.43%,all_R_2xSmGKVnnfHbhpc : I live with my family while in college to save money and most days I wish I could move out because I do better on my own. Plus having my own place means more freedoms without fear of social consequences. But I have to stay here and save money if I am going to be able to afford my dream college for my masters degree.
30,0.20%,all_R_27jOpMS0hVDb5GG : where i live is a safe place. I grew up in this area so I have close relationships with people in the area due to middleschool/highschool.
31,0.18%,"all_R_3kO4BRrf2vPZhOc : I live in a standard area in which I have easy access to the things I need most. Parental help, medical attention, etc."
32,0.28%,"all_R_1Nyug41f7pV6OXF : I am close to the TTC, so it allows me to commute safely and conveniently. A lot of my friends live in this area so I am really happy with this location. Access to a lot of restaurants which is great."
33,0.75%,"all_R_1r2rEuOdrpv1ji3 : My location is what is known as the ghetto. There are often police cars around, but we only sometimes know why. It makes me fearful for my safety, especially walking home alone at night. Often, the glass in our lobby will be broken, either from someone trying to get in or maybe a fight. That makes me worried that someone unknown is in the building and it's not like we have cameras for our safety. I am close by to my doctor, my workplace and my school so the area is not that bad. I live with my parents so I see my family every day, making our relationships in a good place."
34,0.07%,all_R_d5WwWDaFnw2es8x : Im with my sis so it's good
35,0.51%,"all_R_RfQrnFLsVhm9yff : It does not have a great impact on my life at the moment, however I remain anxious about my future. There are many hardships that come with being who I am, and as of right now, I am unsure of whether I am ready or not to face them. I have a great support system that allows me to feel comfortable in my own skin, and so I feel at ease when it comes to facing obstacles as of right now."
36,0.23%,"all_R_1JOYQWAOw1bnCAU : For the most part, I feel safe in my community. Most of my family also lives in the general area, which is helpful and I wouldn't want to move out of this area."
37,0.34%,"all_R_1puuInuwYaMWHEt : Where I live, I feel safe and protected by my family and friends. And I am able to trust them as well which positively impacts my health. I have resources available to go to if I am sick or in need of any help with also positively impacts my life."
38,0.38%,"all_R_2Pcz9A4lRIKvyMF : I live in a very sheltered suburb with the rest of my family. access to doctors is very easy and infrastructure is overall good. crime rates in my town are low and i have plenty of friends nearby, despite being unable to interact with ant of them because of the current crisis."
39 - 40,0.81%,"all_R_2ru6Yt4mj4I15Jb : Certain geographic locations can identify the socioeconomic status of an individual. For example, an area with many amenities such as malls, restaurants, hospitals, etc. would most likely include residents with a higher socioeconomic status than an area with a lot of poverty. Living in a country like Canada, which is a first world country, and a neighbourhood that is surrounded by the essentials and more, it makes my life a lot easier and privileged. Health and safety wise, I live in an area where crime is low, security is high, hospitals are just minutes away and friends/family are a short drive or public transit ride away."
41,0.32%,all_R_pbZK4rVoOmtevfP : My geographic location has been very close to home for my family and I. There has never been discrimination against my ethnicity up until recently. the neighbourhood is generally pretty safe with a bit of robbery here and there.
42 - 44,0.49%,"all_R_2A0QsIIdIdfXy4y : I feel like my location impact my relationships in a positive way, since I live in the same house as my family, close to my cousins, and sort of close to my friends. It is only a short bus ride to some of my friend's homes and we can meet up at malls and other locations to hang out and talk. My family can support me and my friends are right there when I need them."
45,0.63%,"all_R_3s16rnzDZx3fqCq : My location especially being in Ontario gives me great access to medical resources, which I can access for free with OHIP. My location in a small town also allows me access to a close-knit community of individuals as well as grocery stores, doctor offices, restaurants and clothing stores, everything I need to be happy and healthy. My location also provides a community that is committed to respecting everyone regardless of their orientation, race, identity, age and health status."
46,0.57%,"all_R_3q84m912ZQ4iaoy : I live in a relatively safe neighbourhood. I know most of my neighbours and can have conversations with them, which helps to maintain relationships. The neighbourhood I live in is close to a lot of schools and parks, which makes it safer, as there are a lot of children living in my neighbourhood. Living in Canada makes me feel safer and there are many ways to travel to see the people I know, such as friends or my significant other."
47,0.52%,"all_R_1r0LRJQbyISLGx0 : Where I live has impacted me slightly. Most community members are nice which includes, businesses, neighbours, convenience stores etc. Im happy that my neighbourhood is a safe place where my safety and family relationship is unharmed. My area is a hotspot where we have multiple options for transit, many superstores and restaurants, and other entertaining places to go. Happy with where I live."
48,1.47%,"all_R_xzS9fYToU82qVy1 : So I live in a neighborhood that is constantly presumed as a dangerous place but in my option, bad things happen everywhere. It's been over a year since I was almost robbed by 3 kids around my age right in front of my own house, this was a month after moving from one part of my community to another. This made me feel really unsafe because I could have died that day but I managed to get away even though these people had a knife pointed at me. The part that had me really concerned about my safety was that there were people nearby getting into a car who decided to pay no attention. After this, I walked on the opposite side of the street for months. Don't get me wrong growing up in this community was the absolute best even though we didn't enough money to do all the things kids had the opportunity to do we still made it fun. Growing up gay in a community predominately black people it was hard to come to terms with who I was because of a lot of negative stigma and bullying towards LGBTQ+ people. But as a child, I'd always look forward to the community barbeques because that's when the best of people would come out, everyone was treated like family."
49,0.26%,all_R_12QLnAw1v4RGDPm : I would like to think that I live in a safe neighbourhood with very kind people. I was able to meet a lot of supportive friends and neighbours as well. There is easy access to resources
50,0.13%,all_R_7TBsMpi7u7LoP9D : It helps with relationships in finding my needs and making sure they are met
51 - 52,0.11%,all_R_416b53LjC4hBKdH : I live in a great area and am close to my friends and family
53,0.11%,all_R_2hu7NrLrtPMvrzz : my location reflects my personality because i am around family.
54,0.17%,"all_R_2dLR8jAzw4TpbNG : Being with family is always a blessing, but being together constantly can cause strains and raise anger levels."
55 - 57,0.65%,"all_R_WlpGfqbzotW5I9X : I personally feel as though my perception of my geographic location is based entirely on my current interpersonal relationships. Because I have such a wonderful relationship with my family, a strong connection with my friends, a great support group, and am neighbors to friends I grew up with together, the fact that we live in a neighborhood that isn't necessarily the safest and far from financially sound, doesn't faze me. In fact, it provides me with more hope to what I can aspire towards."
58 - 59,0.43%,"all_R_1FailUrSZd2G6TY : Near my home, there are many health resources available. My friends are a few streets away which helps when we get together in person. My family and I are renting from a close uncle which helps me feel safe and unafraid of losing the home. Also, because I am with my family, I am able to build on my relationships with them."
60,0.10%,all_R_1ifyGSehmVFT0I9 : I grew up in a small town so I know almost everyone here
61,0.48%,"all_R_2ahsq9eQb6kFjRS : I think my geographic location compared to many others in the world has helped my safety, health, and relationships. I have grown up in the middle class, with no real complaints. Went to descent schools, got the education needed to get me to a 4 year university, I have many friends both back home and in Merced, and my safety has never been in question either."
62,0.28%,all_R_3L08WIYy3g2zx9E : I feel like location does impact safety and relationships. I feel safer when I'm at home with my family then when I am not. I also feel more loved and less lonely when I am home versus when I am not.
63,0.58%,"all_R_1QLCGqbQeQajOeZ : I believe that being in college provides me with a more free atmosphere. I am able to make most if not all decisions for myself and feel like I have more responsibility and ownership of my life than if I were to be at home. I am also surrounded by friends. Being home though is good or my physical health, I m able to eat more, I feel safer and I don't have to worry about money, but I'm around parents more, which stresses me out a little more."
64,0.14%,"all_R_XZj1KWVokKgoF5n : I think that I am in a location that is enough for my safety, health, and relationship."
65,0.13%,"all_R_uwuqbtdWZpArhUl : I think my location has a strong impact on my safety, health, and relationships."
66,0.30%,all_R_25L6AO0Ym9u5GdE : Location impacts my safety because its not always a good neighborhood but within our my family we take care of each other. Our health is good because my mom who is a single mother makes sure we take our nutrients.
67 - 68,0.18%,all_R_1HepXSvw5YjPgXz : I think my location can impact my life such as how close I am to my friends as well as how close I am to my family.
69 - 70,0.54%,"all_R_1N4IosedMZVeNOK : My location plays a small role on the impact it has on me because it still allows me to have access to resources such as hospitals, clinics, school, etc. My location feels safe and does not make me feel like I am posed with a threat to my own safety or well being. This location is also small which allows for easy access to my friends and family, enabling the relationships I have to be consistent and well."
71 - 72,0.12%,all_R_2ur27rWJZwD4bIW : I live in a safe community with a loving family and friends close by.
73,0.29%,all_R_1cYQuQkIb8FJG76 : My location is pretty safe overall. I think most people are being cautious during this pandemic. I am living with my family and my relationships with them are decent. I think I live in a good neighborhood.
74,0.24%,"all_R_TpibQy5rKZnhf3P : I live in a small town. My grandmother is my neighbor and my mother lives down the street. I love my town, it has definitely made me closer to my whole family and friends."
01-Feb,0.22%,zero_R_ZlwwLcK045XD3Hj : I live with three roommates and surrounded by many neighboring friends that I am very close with. It is a pretty safe area as well.
3,0.36%,"zero_R_ZdTItTqRwI2ykgx : My location impacts my health in that the food in the cafeteria is unhealthy. Because of this, I have gained some weight. I feel pretty safe at the school. Going to school at siu has made me have more relationships with better people."
04-May,0.50%,"zero_R_1mFunDcQrgoMpPZ : I chose to put my location where I lived before college because that is where my family, friends and whole support system is from. Growing up in a small community helped motivate me to accomplish my goals. I am here at Southern Illinois playing softball because of how my small community of a support system helped me through hardships."
6,0.37%,"zero_R_2ASFKRBpogRESRu : I live in a small southern town. Everyone knows everyone and if you do not your life to how the public of my town thinks you should, then it is really frowned upon. It causes a great deal of stress especially when it comes to relationships"
7,0.20%,zero_R_3oGcWYPHxlyUDsl : i am in a good situation where i live close to medical attention and have healthy rlationships with the people around me
08-Oct,0.24%,zero_R_3lLyTcVtnnQRC9i : I live in a good suburb of St. Louis where I have a lot of friends. I never really have to fear for my safety when I am out and about in the area.
11,0.37%,zero_R_3RdU8p5QkTH6GIl : Safety - a bit worrisome because I live in New York City where there is a lot of increased levels of crime and such Health - does not tend to affect this at all Relationships - boosts it because most of my friends are from where I am from
12,0.20%,"zero_R_2V9g51NyAoVTZWJ : Living in a large city contributes to a sense of social isolation, something with which I am coming to terms with now."
13 - 14,0.29%,"zero_R_2YswRDZ0G3Gl5HB : Since I live in the capital of Greece, Athens I have access to very many different places; nit only regarding my job and medical issues, but also based on my friendships and night outs."
15,0.52%,"zero_R_umLl8F0Pow7pDj3 : I live in wealthy country by all global standards and have been a successful executive, father and citizen (by all reasonable measures). I am white male in a predominantly black country with an increasing wealth gap that is causing social strain. I have access to good healthcare, good family and friend relationships but can sometimes feel isolated."
16 - 17,0.19%,"zero_R_1gOLjGzxvnPRMVs : I am live in a central location near a park, so I had the chance to make solid friendships early on in life."
18 - 19,0.21%,zero_R_1IXgTFMTZ1ta7SF : i am very lucky to live where I do. The weather is usually beautiful and the people are overall warm and kind. It is very safe.
20 - 21,0.35%,"zero_R_PXnt8TeiJ4paIE1 : I have a loving family, good work life, great friends, am engaged in my community, support those less fortunate and hate tribal politicians who do little to uplift the less fortunate and less educated for the betterment of all."
22 - 23,0.34%,zero_R_3rGribQ0efgcvkz : I live in nyc and therefore I am exposed to many different types of people from all walks of life. My environments are generally accepting of all people. I always feel safe and have a lot of friends and community around me
24 - 25,0.36%,zero_R_2tsr4YRnk70UT3w : spending my time in abu dhabi makes me feel comfortable and positive at all times. i feel like i have a family around me in campus. i constantly feel safe and i am satisfied with the environment which impacts my health positively.
26 - 27,0.43%,zero_R_2v0QyowjtiZ6jAn : Growing up where I did made me able to keep myself occupied and happy with little to do. Moving to Carbondale has changed what I have access to and made me feel more lethargic and depressed more often. I had more close relationships in my small town than in a larger city like here.
28,0.30%,zero_R_28zI7xv0KkKa4wl : I was fortunate to grow up in a middle class area. Despite some family issues I've had pretty good relationships with my family. My safety and health is pretty good and has not been an issue
29 - 30,0.35%,"zero_R_1LdtHVx2Mcu7Has : My location is a bit far away from campus, but I like that it is a quiet, safe neighborhood. There are not many people that know where I live. I have interacted with one of my neighbors before, and that helped ease some tension."
31 - 32,0.41%,"zero_R_2zZ9lyiUObBdVSq : I live 2 hours away from where I attend school, so there have been some logistical challenges when it comes to healthcare. It is sometimes difficult to be away from family, but IÉ??m used to it at this point and use other ways to stay in contact like texting and FaceTime."
33 - 34,0.37%,"zero_R_1q84CxiUDRPoK9w : Location does not impact me as I try to be self reliant and handle things on my own regardless. I am closer with friends than family, so I turn to them if I need any advice. School offers many resources that I can use if it comes down to it."
35 - 37,0.13%,zero_R_UsVTMLWdkWe72Df : Live near family and where I grew up so it's extremely positive.
38 - 39,0.13%,zero_R_1kLBJ4ovQTVJVZ3 : I have a very safe home that is welcoming with a supportive family.
40 - 42,0.53%,"zero_R_pgxDGSdwWddZoyd : I like where I live. I live with my mother and I am close to my dad's house so if anything happens or I need a getaway, I can just go there for a little while. Its nice living close to school also,makes it easier for me to commute and not have to worry so much about rushing. I'm in a good place, everything is close around me and it makes me feel better."
43,0.17%,"zero_R_3iOK6XGuOfX9Ty2 : I am fortunate to live where I do. I feel safe, have good relationships and its a good area."
44 - 46,0.32%,zero_R_29gmaBkevra8IJ6 : Satisfied with location but location may have to change upon becoming elderly. This is an unknown and depends on health. Family is nearby with close relationships which contribute to safety and happiness
47 - 49,0.29%,I personally live in the country &amp; I think being on the outskirts of town away from all of the noise can definitely keep your mental health in check. &amp; working on the farm brings me closer to my family.
50,0.40%,"zero_R_1GDrv6lJu56cMpS : IÉ??m a straight woman and IÉ??m currently in a happy and loving relationship with my boyfriend. I feel completely loved if not by him, by my family everyday. The only thing that does feel empty is my friendship relationships, IÉ??m hoping to build more this year."
51 - 53,0.31%,"zero_R_ukxnBp0U2Uc71i9 : Location affects me by having a far distance between school, home, friends, and partner. It can see like a waste of time some days to make the trip to simple talk in person instead of over the phone."
54 - 56,0.21%,zero_R_279h7hbj8LxTBVY : I believe my geographic location makes me have better relationships because I am around the people that support me the most
57 - 59,0.28%,"zero_R_3qJNtp31Xle0DBN : I live on east campus at SIU and I've never felt unsafe and I'm close to my friends, boyfriend, and family. I have a doctor and pharmacy out here as well. I live well out here."
60 - 61,0.29%,zero_R_XifBUfJXhgU3bcR : I'm originally from Akron Ohio and most of my close friends from the Marines are spread throughout the US so I feel lonely here with phone calls being most of my human interaction.
62 - 64,0.65%,zero_R_28BXn2Ap709xrxq : I live in a smaller area where everyone knows each other and what they have done and what they are going to do. I feel safe almost all of the time but relationships are hard to keep true. Everyone around me is always going to know who I am but that doesnÉ??t mean we are close with each other. For the most part everyone I associate with are very caring people so when one of us are struggling all of us are struggling because we want to help.
65 - 67,0.18%,zero_R_eh5U2JS4FGhQQ4V : My geographic location is very out of the way and makes it difficult to physically connect with others.
68 - 70,0.20%,zero_R_XHqKKJorCdEaHpD : It heavily limits relationships due to lack of people. Its a nice peaceful area so you are able to relax much more.
71 - 73,0.29%,"zero_R_1jUGLRLNJ5adtuY : My location impacts me by secluding me from the busy city life that surrounds me. I feel safe and comfortable at home, but somehow like i am still an outsider due to my roommates."
74 - 76,0.09%,zero_R_3PnMA8eI79UEkWg : I get bored and lonely in Sacramento
77 - 79,0.75%,"zero_R_2D6LcpvKBxfadOr : I live on the outskirts of the country where it is very quiet but I have always enjoyed a rich lifestyle and both of my parents are married while my mom stayed home to raise both myself and my brother. Our location is safe with a large supportive community with hospitals, grocery stores, drug stores, gas stations and so much more within a 10 minute radius of my home. There has never been a fear in my family of sickness being a life threatening issue or of our home being separated. I have lived a happy life so far."
80,0.19%,"zero_R_2D0sQXpQV6wBOUI : My location doesn't isolate me from other people, yet I still have my own space when I feel like being alone."
81 - 82,0.15%,zero_R_2EGdlviyGOHIHJK : My location allows for me to see many people that I have a close relationship with.
83 - 84,0.28%,"zero_R_cvkyyvL4yuV7okx : Here in Italy health services are free, and they work; Italy is a very safe coutry; people here is quite openminded and willing to support each other, at least people i know"
85 - 87,0.89%,"zero_R_30dUWaVO5QpcvpE : I live in a small village near Greifswald. Peace, fresh air, enough space and a garden. Perfect! I have my family and that&amp;#39;s enough for me. 8 siblings including partners, children and grandchildren. My wife&amp;#39;s family, my own children and grandchildren. I am adequately provided with relationships. I feel safe and secure. I am also healthy. The Corona crisis is currently causing uncertainty, but hopefully that will pass in a few weeks. Otherwise I don&amp;#39;t care where I live. I have no contact with neighbors. The closest is 200 meters away. Enough space not to get in each other&amp;#39;s way."
88,0.77%,"zero_R_3Mz0cDPMpYXDnwl : My place of residence influences me in the way that I can be free, geographically but also as a person. I can go anywhere without limits, I can develop freely, I can enjoy nature. I can ride my bike alone at three o&amp;#39;clock in the morning without fear. My place of residence allows me to have many relationships and to be healthy. Mentally, because I can go to the sea or the forest, geographically, because I can see a doctor when I&amp;#39;m sick. My place of residence is part of my identity and often makes me feel good."
89,0.16%,"zero_R_xredE9yeZDAxzyh : Place of residence is worth living, connects me with friends and family, makes me happy."
90 - 92,0.39%,"zero_R_2dLuTCQfw17lJow : I grew up in the country, a family home on a play street. I would put everyone in the estate into the upper middle class. In addition, there is a nearby forest and I have never lacked exercise and fresh air. I get a lot of support from my family and friends."
93,0.65%,"zero_R_3mmhlXgsFmvXj8N : My place of residence means that I have access to all doctors / hospitals / .. at all times. That&amp;#39;s why I never feel scared. Since my family and my boyfriend and my friends all live in a very small radius (about 2 km radius), I am very happy and I think that contributes a lot to my well-being. I think it&amp;#39;s not about the city of SaarbrÅcken per se, but that I live in Germany (= safe, good care) and close to my loved ones :)"
94,0.13%,"zero_R_1hRW19vfexMAjwV : Good infrastructure, center, close to work, friends live close by"
95,0.29%,"zero_R_1gBC7WKh2gwqvqC : I tend to live in the country, so it&amp;#39;s pretty quiet and you can get to nature quickly. Nevertheless, I have close friends who live in the immediate vicinity and further away."
96 - 97,0.26%,zero_R_1j95TEQ2tnM8XsF : My whole family and most of my friends also live near where I live. That&amp;#39;s why I feel very comfortable there. I know that someone is always there for me.
98,0.67%,"zero_R_3NHSiVoDFtgagnO : My place of residence is very safe. I live in this house with a lot of people who are like me and I needn&amp;#39;t fear. I have a lot of nature around me and can therefore go out often and a lot to recharge my batteries. However, I live alone, which is why I am lonely sometimes. But most of the time that is terribly good for me and I like to structure my daily routine and my apartment myself. Living alone has made me very self-confident and independent."
99 - 101,0.76%,"zero_R_so0TmxJPoen73yN : I am privileged when it comes to where I live, both because of the location and the internal structure. I can meet a multitude of friends in a very short time and everything I need can be easily reached by bike, on foot or by public transport. The fact that many places can be reached on foot is particularly good for my health and encourages me to move around a lot. I have the freedom to move where I want and whenever I want. Nothing stands in the way of a visit from friends. All of this has a positive effect on me."
102,0.17%,"zero_R_1GOKWkUNg7Jff7E : My place of residence is very central, I could and can always reach everything and meet friends."
103,0.75%,"zero_R_6r1braP9TxD2VRT : I live alone in an apartment downtown, my partner lives nearby. I am often in the country with my parents. If I only had my place of residence in the city, I would probably not feel so comfortable because everything is very anonymous and it is difficult to get to know other people. I don&amp;#39;t have a garden or balcony in town, which is something I really appreciate and enjoy with my parents. I feel better mentally because of the free space in the country, staying in the city would be restrictive for me."
104,0.22%,"zero_R_1XJDGdEsi7aKlSV : Quiet, safe, lots of nature, so lots of opportunities to move around, little industry, little traffic. Most of the family in the area,"
105 - 107,0.46%,"zero_R_3dN6iJGFBL5eftJ : My place of residence gives me confidence, warmth, tranquility and serves as a place of refuge where I always feel good. There is no other place where I could feel so serene as I do here. The most important people are near me, nature enables me to recharge my batteries and breathe deeply when I am stressed."
108 - 109,0.19%,"zero_R_4G6PNIn55qMGpMZ : Residence makes me very happy, I feel very comfortable and safe. Found a lot of friends and my boyfriend here"
110,1.22%,"zero_R_ZmiywjObddFV5qF : My relationships are positively influenced by my place of residence because our place is a bit smaller and you can spontaneously meet friends / acquaintances differently than in big cities. I also see my security higher with us, especially in relation to break-ins, theft and violence because this is only minimal with us and if you do then you know the &amp;quot;bad roads&amp;quot; and avoid them. My personal development and diversity is limited by my place of residence because here you definitely stand out if you are something É ? ?differentÉ ? doesnÉ ? ? t matter whether you are figure, character, etc. Because I have complexities with my figure despite having a normal build I feel the pressure here in Coburg is significantly greater than in larger cities. One is viewed more critically here and more is expected of one in terms of appearance."
111 - 113,1.34%,"zero_R_2v2GJ0BQkdlp7ix : I am currently commuting back and forth between my home, my place of study and the place of residence of my partner (we are not married + he does not live in Germany). Due to the Covid-19 situation, I moved the 400km back to my home, as I have several foster care cases and high-risk patients in the family who my brother and I support. This also means that the visit from my life partner is no longer necessary. The distance puts a strain on the relationship, but I will move away from emden and after our studies are over we will see. I feel safe in all three places. I don&amp;#39;t regret the decision to change my place of residence due to my studies. Emden is a very pleasant city. It&amp;#39;s big enough but not a big city. Everything is on site and everything can be reached on foot or by bike. The only thing that is a shame is the poor networking of the buses. However, there is a train station in town with a pretty good connection."
114,0.12%,zero_R_w77yPuSrxaByfD3 : I&amp;#39;m studying in Leipzig. Made some good friends here.
115 - 116,0.60%,"zero_R_yVh0NicZRHjr5M5 : I really live in the country and I think the community of people my age is really good! You are totally networked and know almost everyone here. Which is of course great for friendships and security on the one hand, but on the other hand it is also a bit difficult to find new relationships. Besides, our family doctor isn&amp;#39;t that competent here in the village, but there are very few alternatives."
117 - 118,0.28%,"zero_R_2WO0otcvjX2oxVW : I feel very well. There is a lot of green and nature, it&amp;#39;s quiet. I have good neighbors and I feel accepted. I&amp;#39;m not afraid to go outside alone at night either."
119,0.26%,"zero_R_77A4gb8icuwHuRX : Moved to Berlin because of a friend. That didn&amp;#39;t work, but I stayed there because I don&amp;#39;t really feel at home in my home town in Swabia anymore."
120,0.86%,"zero_R_3LjYAXH0oqho5vS : Since I have a long-distance relationship and often commute back and forth between my place of residence, my parents and my partner, I often have the feeling that I don&amp;#39;t have a fixed center of life because these 3 places hardly overlap and are different groups of friends in all 3 places. I very much wish that I had a steady center of life. Otherwise the place of residence is perfectly fine and no worse or better than anywhere else. Unfortunately, it&amp;#39;s sometimes very dirty in the dormitory, which is why I don&amp;#39;t like cooking there, although I usually like to do it."
121,0.30%,"zero_R_2fCzKSu9nYUbv2S : I like my place of residence because it is close to all places I can reach. (Work, university, train station). Other people (friends) can also reach it easily because it is centrally located."
122 - 123,0.52%,"zero_R_3KwNIU6DYlIvZwl : My place of residence is freedom for me (I lived very remote as a child). Close to the city center, access to all shops for daily needs, everything is within walking distance. I meet friends more often and go partying more often because it is no longer difficult (how do I get home?). However, I used to be sick less often in the country than I am now."
124 - 125,0.45%,"zero_R_2vY21jHITRfRWva : The place of residence is a village, which means that there is a lot of space in the apartment / house and a high level of cohesion among the neighbors. In addition, security is very high and the green surroundings with lots of nature lead to better physical and mental health than living in the city."
126,0.67%,"zero_R_2ctHkomWPrsiwtp : My place of residence is still relatively new to me (moved in 6 months ago). There was something liberating, if at times frightening, about moving out of my parents&amp;#39; house. All in all, it wasn&amp;#39;t difficult for me to leave my hometown. In Leipzig I feel very well and at home now. I live in a shared apartment with 3 flatmates, it took me a while to get used to, but now I get on very well with them and I&amp;#39;m happy to see them again."
127,0.24%,"all_R_1C2rRQ2ycLzAnu4 : I feel like I live in a healthy environment, that encourages growth and offers new opportunities.I am a healthy person and I have good relationships."
128,0.14%,all_R_3TMnShu3hIpmjNn : It is really easy to connect with resources and people from where i live.
129,0.12%,all_R_3HMk0gv6wvSBYYJ : Helps me continue my friendships and helps me build new ones.
130 - 131,0.12%,all_R_3ilsMHl3cZVoyB0 : helps me keep my friendships and allows me to build new ones.
