item_1,item_2
all_R_1jqt8ThJnHtBQWW    :,"I feel very isolated. I am so far away from my family, so I rarely am hugged or kissed by loved ones. I cannot find a PCP, so I worry about my health all the time. I am very lonely."
,
Reference 6 - 0.45% Coverage,
,
all_R_1IdeVMGFrH5cVxG    :,"My hometown is very safe when it comes to physical health. It's a small town; therefore, there are not many places to go for mental health help. Especially for minorities. For a teenager, who is a person of colour, everything feels predominantly white. The ostracizing doesn't come from peers but mostly adults (specifically teachers)."
,
References 7-8 - 0.56% Coverage,
,
all_R_1ltphs8Yqe84p45    :,"I'm certainly grateful for being able to live with my sexual orientation being out and accepted. I feel like I don't have the same opportunities as other people in my society because support for my physical and mental disabilities is so meager. I feel like I'm missing out on life.  Generally I feel safe, even if the police refused to take any action against my neighbour who threatened to kill me due to my sexual orientation."
,
<Files\\Qualitative Responses - Jose> - ? 5 references coded  [3.25% Coverage],
,
References 1-2 - 1.87% Coverage,
,
zero_R_2rPCP3AwSSZfMhU    :,"I grew up in the rural mountains of North Carolina. While I now attend medical school and have had a solid socioeconomic standing while growing up. My school and community was severely underserved. The community does not hold many of the important specialties, especially when concerning pediatric care. More so, mental health initiatives and counseling help is extremely limited in the area and can lead to challenges throughout the community.   For example, I was required to travel close to 200 miles round trip in order to receive treatment for a pediatric bleeding disorder as a child. The closest PICU is the same distance and has led to significant challenges for both my family and even more throughout the community. Emergency medicine is the highest risk in the area as transport can lead to poor health outcomes, particularly due tot he isolation associated with the community. The areas tobacco and drug problems are a extremely significant as well, as a result of previous tobacco  industry in the area, lack of resources to mental and physical health, poor education system, and low socioeconomic status.   Watauga county has the largest socioeconomic disparity in the state of N.C. this translates to a food insecurity rate approaching 25-33%, an astounding number. This further complicates health in the region."
,
Reference 3 - 0.49% Coverage,
,
zero_R_z70MceS9jhOIJMZ    :,"In my place of residence there is everything I need to live (supermarkets, drugstores, clothing / book stores, ...). There is also a relatively high standard of living where I live. Health care is also guaranteed (pharmacies, specialists, ...). General practitioners have no capacity to admit new patients. That is problematic."
,
Reference 4 - 0.60% Coverage,
,
zero_R_yVh0NicZRHjr5M5    :,"I really live in the country and I think the community of people my age is really good! You are totally networked and know almost everyone here. Which is of course great for friendships and security on the one hand, but on the other hand it is also a bit difficult to find new relationships. Besides, our family doctor isn&amp;#39;t that competent here in the village, but there are very few alternatives."
,
Reference 5 - 0.29% Coverage,
,
all_R_2aFdpJB6MjBGhxn    :,It impacts in everyday. i come from a poverty stricken neighborhood and i went home for thanks giving and it just felt like id be there forever and that's not what i want with my life
