item_1,item_2
all_R_2v7eLS1hxuR7unh    :,"I think growing up in Missouri as a conservative state overall meant I had very little access to positive representation of LGBTQ+ people. However, I think I was very privileged otherwise and had access to resources for mental and physical health. I also believe my poor mental health comes from childhood experiences/traumas that are not gender/sexual orientation related"
,
Reference 9 - 0.42% Coverage,
,
all_R_qWQXLdq4SUozeX7    :,"I live in a basement apartment in a relatively affluent area.  Crime is low, pollution is low, my housing is stable as are my finances.  I am extremely close with my family, but my parents and sister live about 2 hours away and I cannot see them as much as I would like.  My core group of friends also live about 2 hours away now, so I also have a difficult time not seeing them as well."
,
Reference 10 - 0.35% Coverage,
,
all_R_tFondWUPCOXtHC9    :,"I live in Dallas, Texas. I am lucky in many ways. Dallas is mostly a blue city, I am a white cis female, and bisexual. I'm normally not a target of bigotry or abuse. I also having supportive parents close by. A lot of my friends do not have the things I am blessed with and I have seen their struggles and it pains me."
,
Reference 11 - 0.54% Coverage,
,
all_R_ZesRPmVb3t2rGVj    :,"I am lucky to have been born in such a privileged and safe country. I have not yet experienced any discrimination because of my identity where I live, but rather encouragement and support. Luckily, I never had to hide or pretend, I was able to live it out openly, even though I live in a very conservatively governed state, where same-sex marriages or homosexuality etc. are viewed rather suspiciously. Still, I am not punished for it, as in many other countries, and I am allowed to marry. That gives me security."
,
Reference 12 - 0.60% Coverage,
,
all_R_1ikgqFnGistaSQl    :,"As a student, I have my own beautiful apartment in my study town Emden. Most of the time, however, I like to spend my time with my partner who runs a farm. I cling with heart and soul to this place - a small farm in the middle of a growing village that has everything you need: doctors, banks, shops. My own apartment in Emden is very comfortable and centrally located, but I don&amp;#39;t feel at home in the city or particularly safe in my part of town: a local resident was recently stabbed by drug addicts in the neighborhood, and garbage is often in around town."
,
<Files\\Qualitative Responses - Cory> - ? 1 reference coded  [0.21% Coverage],
,
Reference 1 - 0.21% Coverage,
,
all_R_2dyBSGIEfoBE10p    :,"My upper middle class area that I grew up in helped me stay safe and healthy, but made it harder to be tolerant of others until i was a adult."
,
<Files\\Qualitative Responses - Jose> - ? 28 references coded  [13.09% Coverage],
,
Reference 1 - 0.46% Coverage,
,
zero_R_37AQRVSkhJHl1jr    :,"My location has a huge effect on me as a person because I have access to many things that others don't. Since I was raised in a nicer area with parents who can afford it, I didn't learn until I was older how lucky I was to be raised like that and how hard other people work to get less than what I have."
,
Reference 2 - 0.20% Coverage,
,
zero_R_3oGcWYPHxlyUDsl    :,i am in a good situation where i live close to medical attention and have healthy rlationships with the people around me
,
Reference 3 - 0.75% Coverage,
,
zero_R_10CmPcuCDGmAckV    :,"My geographic location both at SIU and back home are good. My hometown is right next to the capital of the state (it's only a 10 min drive) so I have access to any resources that I would need for both mental and physical health. Since I don't live in the city I feel safe, even when I am in the city I have never felt unsafe. The Springfield Police Department does a good job of keeping everyone safe. SIU does a good job of providing for all of our needs as well. They also do a good job of keeping us safe on campus."
,
Reference 4 - 0.24% Coverage,
,
zero_R_3lLyTcVtnnQRC9i    :,I live in a good suburb of St. Louis where I have a lot of friends. I never really have to fear for my safety when I am out and about in the area.
,
Reference 5 - 0.50% Coverage,
,
zero_R_2bhNnN9dMchncVb    :,"My location impacts me because I believe, who and what you are surrounded with will effect your every day life. Where I live is in a middle class happy place. I believe your location can change the way you see things and how you act for example if you grew up in the hood you may get involved with drugs because you grew up with that."
,
Reference 6 - 1.03% Coverage,
,
zero_R_23dTFGhgDcGbMjD    :,"I grew up and still live in a suburban town mixed with people of all classes and races. Primarily Bergen County is a higher class and white town so I feel that safety and health was not much of a concern growing up. There are many emergency expresses near by and other services that are easily accessible. The towns police and departments are always out patrolling. The only time I felt unsafe was when my familys home had a fire a couple years ago and was displaced for months. This was because we had  to move and learn new ways of getting around and was sort of thrown outside of our comfort zone. Other then that, I personally have never felt a significant negative impact on my safety, health, or relationships."
,
Reference 7 - 0.20% Coverage,
,
zero_R_vdwoG5GNqyQs493    :,"I grew up in a fairly safe neighborhood, as a white kid In a primarily white town I never felt discriminated against."
,
Reference 8 - 0.35% Coverage,
,
zero_R_12focScEA7MkPqY    :,"I live in a relatively wealthy monocultural area. I am from the prevalent ethnic group in the area. I am young, fit and healthy, so I whilst I can feel very positive and resilient, I am unaware of what true hardship is like"
,
Reference 9 - 0.29% Coverage,
,
zero_R_2YswRDZ0G3Gl5HB    :,"Since I live in the capital of Greece, Athens I have access to very many different places; nit only regarding my job and medical issues, but also based on my friendships and night outs."
,
Reference 10 - 0.52% Coverage,
,
zero_R_umLl8F0Pow7pDj3    :,"I live in wealthy country by all global standards and have been a successful executive, father and citizen (by all reasonable measures).  I am white male in a predominantly black country with an increasing wealth gap that is causing social strain.  I have access to good healthcare, good family and friend relationships but can sometimes feel isolated."
,
Reference 11 - 0.47% Coverage,
,
zero_R_2OTKpA81uFXlJSQ    :,I don't know that my location affects this much other than the good fortune of living in a first world country (which I do think matters quite  a bit).  I think it's more impactful that I am well educated and successful professionally giving me financial wherewithal to meet my needs and the needs of those I love.
,
Reference 12 - 0.30% Coverage,
,
zero_R_28zI7xv0KkKa4wl    :,I was fortunate to grow up in a middle class area. Despite some family issues I've had pretty good relationships with my family. My safety and health is pretty good and has not been an issue.
,
Reference 13 - 0.27% Coverage,
,
zero_R_1DBDoxOhaZCr3JM    :,I like my location because it enables me to freely and most easily have access to basic facilities that make life much more easier; though sometimes it could be noisy.
,
Reference 14 - 0.53% Coverage,
,
zero_R_pgxDGSdwWddZoyd    :,"I like where I live. I live with my mother and I am close to my dad's house so if anything happens or I need a getaway, I can just go there for a little while. Its nice living close to school also,makes it easier for me to commute and not have to worry so much about rushing. I'm in a good place, everything is close around me and it makes me feel better."
,
Reference 15 - 0.17% Coverage,
,
zero_R_3iOK6XGuOfX9Ty2    :,"I am fortunate to live where I do. I feel safe, have good relationships and its a good area."
,
Reference 16 - 0.28% Coverage,
,
zero_R_3qJNtp31Xle0DBN    :,"I live on east campus at SIU and I've never felt unsafe and I'm close to my friends, boyfriend, and family. I have a doctor and pharmacy out here as well. I live well out here."
,
Reference 17 - 0.79% Coverage,
,
zero_R_3L7LnKACywaDTgv    :,I live in a very wealthy neighborhood. I have always had access to anything and everything I needed as a child. I never felt unsafe walking to the local town or biking to my workplace. I do feel isolated from my peers as i live very far from my current school. This strains my relationships with friends as i have to rely on calling and facetime when i need someone to talk to. However living at home strains my relationship with my parents as we have very different lifestyles. I have never worried about not having access to health care services.
,
Reference 18 - 0.47% Coverage,
,
zero_R_Ad4PfNzlwf2vE09    :,"My location makes me a bit more self conscious about my personal life such as social status and financial status even though me and my family are in good standing, we live in a predominantly upper class area and it can make me feel self conscious however, going into college it was the complete opposite experience."
,
Reference 19 - 0.49% Coverage,
,
zero_R_3j8zEbN55Xyez1H    :,I feel pretty safe where I live. I am glad to have a beautiful park close by and to be able to enjoy the sun undisturbed. Unfortunately we have neither a garden nor a balcony in our apartment. We have many shops and doctors in our vicinity and we live close to the center. I feel accepted as a person here and can live out freely.
,
Reference 20 - 0.76% Coverage,
,
zero_R_so0TmxJPoen73yN    :,"I am privileged when it comes to where I live, both because of the location and the internal structure. I can meet a multitude of friends in a very short time and everything I need can be easily reached by bike, on foot or by public transport. The fact that many places can be reached on foot is particularly good for my health and encourages me to move around a lot. I have the freedom to move where I want and whenever I want. Nothing stands in the way of a visit from friends. All of this has a positive effect on me."
,
Reference 21 - 0.61% Coverage,
,
zero_R_1lsfsW5yLOxWizo    :,"I consider my place of residence to be quite privileged and I always feel safe there. I&amp;#39;ve always wanted to live in a beautiful old town and that&amp;#39;s why I feel very comfortable there. That will probably help me find my balance at home and recharge my batteries. It&amp;#39;s a quiet environment, good for your mental health, yet not far from the hustle and bustle so you don&amp;#39;t feel left out."
,
Reference 22 - 1.24% Coverage,
,
all_R_DcwAYA2SpjwiCTD    :,"I live in a pretty safe suburban neighborhood so I guess that would explain why I very rarely felt unsafe in my life. In addition, because my mom is a nurse and we live close to the city I have access to pretty good medical resources. I have not found any difficulty dealing with my gender and/or my identity, primarily because I don't belong to the LGBTQ+ organization, and society is more welcoming to individuals who are heterosexual or identify as a male or female compared to those who are lesbian or gay. In addition, because of that I believe that I am more comfortable going about society, whereas others may be ridiculed in his or her workspace, church, or home. As for my ethnicity, because I am Asian, I have faced some difficulty and racist comments when growing up, but it did not really bother me or stunt my confidence or my appreciation for my culture."
,
Reference 23 - 0.22% Coverage,
,
all_R_1d186U8zXt5VjGe    :,"I live in a safe and accepting place, and I am in a place of privilege so I don't usually fear not being safe except for being a woman"
,
Reference 24 - 0.23% Coverage,
,
all_R_1QyBXYRDvILi4n5    :,"I have more privileges available for me than most, but my family is somewhat narrowminded and sometimes I don't feel safe confiding in them."
,
Reference 25 - 0.46% Coverage,
,
all_R_27JzkeYZLZHZCQD    :,I have overall lived an exteremely blessed life. My environment allowed me to make freinds and get a good education that many others havent gotten the opportunity to experience. My parents are loving and have always pushed me educationally and to try new things. Ive overall felt safe in my environment.
,
Reference 26 - 0.59% Coverage,
,
all_R_yqq6tYRwjjms1Lr    :,"The location in which I live in has very low crime rate so feeling unsafe has never been a problem.  My mother works for my doctor so having availability to healthcare has always been easy as well.  I grew up in not the wealthiest family, but we always found a way to make it work.  Family and friends were always there if we needed help and we're always there if our friends and family need help."
,
Reference 27 - 0.43% Coverage,
,
all_R_1pQCe16HliqpGNr    :,I live in what is mostly considered to be an upper middle class neighborhood. Most of the people there are like me and we rarely have any dangerous occurences. I feel safe there most likely because there a few people there who would discriminate against me for any part of my identity.
,
Reference 28 - 0.22% Coverage,
,
all_R_3qE6gOWpMkJ13SK    :,I do not have to worry too much about my safety or my health in my neighborhood due to minimal crime and nearby competent hospitals.
