RecordedDate,ResponseId,RecipientLastName,UserLanguage,Q4,Q4_3_TEXT,Q4R,Q5,Q6,Q6_7_TEXT,Q6R,Q7,Q7_8_TEXT,Q7R,Q8,Q8_9_TEXT,Q8GER,Q54,Q54_11_TEXT,Q8ALLR,UNILOC,CODLOC,Q9,Q9_4_TEXT,Q9R,Q10,Q10_13_TEXT,Q10R,Q11_1,Q12_1,MIDTOT,,,Q24
43751.70417,R_129ilx52fSUUKEn,,EN,1,,1,21,1,,1,4,,4,3,,,,,3,USA,1,"1,2,3",,5,3,,3,7,7,2,,,I feel Iâ€™m from a safe environment. I can be more outgoing to success as a result.
43751.7375,R_2dxTM1i9IElpjS9,,EN,1,,1,21,1,,1,4,,4,3,,,,,3,USA,1,4,Multi-racial,5,3,,3,7,7,2,,,"I feel my geographic location is a safe place. As a result, I feel I can be more outgoing to success. "
43751.84861,R_2PBWkL2ebpWp4GE,,EN,1,,1,18,2,,2,1,,1,4,,,,,4,USA,1,1,,1,"3,5",,"3,5",6,4,4,,,"Carbondale is my current home but I am originally from Chicago. The culture here is much more conserved than Chicago's, which is taking some major adaptations to my mental health and the way I move daily."
43751.9625,R_9LBENKTOBaQRoXv,,EN,1,,1,18,2,,2,4,,4,"4,5",,,,,3,USA,1,1,,1,"1,5",,"1,5",6,7,3,,,"My living environment has little to do with my safety, health, and relationships. I grew up in a middle class/low-class neighborhood and was used to crime and bad things happening around. This has made me stronger in my opinion. "
43752.36736,R_rk9Dxpc8Gzxa6uB,,EN,1,,1,18,1,,1,3,,3,5,,,,,5,USA,1,4,European ,13,13,None of the above ,14,5,7,1,,,"I live in a great location, its a small town but close enough to carbondale for school and work, and close enough to St. Louis for the weekends. Living out of town does great things for my mental health, the silence and the views of the country truly inspire me daily and keep me grounded. "
43752.4875,R_1lgVk7FTyWRDaiJ,,EN,1,,1,19,2,,2,4,,4,2,,,,,2,USA,1,,,18,8,,8,5,7,2,,,"Well in this day in time no one wants to be in a relationship, everyone wants to be single and living their best lives. Like yolo but itâ€™s the same with sex people act like that is a hobby and thatâ€™s why diseases are going around. Safety more and more people want to do the illegal things to get ahead so we donâ€™t have a lot of safety especially when the police are just going around shooting people. No safety at all in this day in time."
43752.70208,R_2VmgXcv847Gf6vQ,,EN,1,,1,18,1,,1,4,,4,2,,,,,2,USA,1,4,Senegalese,21,12,,12,6,7,2,,,
43752.91667,R_C8fW58bHWgNbgL7,,EN,1,,1,19,7,Female,8,4,,4,5,,,,,5,USA,1,4,Polish,10,3,,3,7,5,1,,,"My location is in the suburbs of Chicago. I grew up in an area where pretty much everyone is middle class. If ever did need to go to the hospital for my health the hospital was never far away. All the children in that town go to the same school so relationships with people are strong. If something bad ever did occur police, fire department, and ambulance are very quick to the scene."
43753.47847,R_2TNX7f5zeTisjtp,,EN,1,,1,20,2,,2,4,,4,5,,,,,5,USA,1,2,,2,"1,13",Lower middle class,"1,5",5,3,2,,,"I don't feel as though my location impacts me as much as it did when I first moved here.  Moving down here for school with my best friend, we didn't know anyone else aside from some people we went to school with, we didn't really know our way around, and we just felt out of place.  After being here for a little while now, we found jobs, coworkers have become friends, we have met new people in class and made friends, and I believe my health, relationships, etc. are doing very well down here. "
43754.73403,R_xruqnLffA0OV9L3,,EN,1,,1,18,1,,1,4,,4,2,,,,,2,USA,1,4,Black/African American,17,,,14,5,5,1,,,I feel like it's mainly affected how overall cautious and tense I tend to be in my day to day life.
43754.75694,R_3O7XQVa4uzv4uFr,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,2,,2,6,7,1,,,"I live in a small town with a numerous people addicted to different drugs and sometimes they do not make you feel the safest but I know there are people that will help if something happens. Other than that, I believe that my community has been helpful in growing to who I am today. "
43755.40972,R_vYKe7s0zWK3J41b,,EN,1,,1,19,2,,2,4,,4,2,,,,,2,USA,1,4,Still black,17,6,,6,6,7,2,,,"My neighborhood is safe...mostly. There are gunshots, but that's a new thing. I live in an area where it used to be the white suburban area."
43755.53333,R_3O1ZoHi4yTTlDVH,,EN,1,,1,21,1,,1,4,,4,4,,,,,4,USA,1,1,,1,13,none,14,4,5,1,,,My location does not affect my identities too much. The only way it would affect my identity is by slightly amplifying my Latino identity due to the lack of Latino presence in Carbondale.
43755.82361,R_3qJcC2atXySx3Wp,,EN,1,,1,19,2,,2,4,,4,5,,,,,5,USA,1,4,I do not feel as though I identify with any on the list.,18,5,,5,4,4,1,,,Back at my hometown (where I marked on the map) mental health wasn't something that really ever talked about. I think it definitely impacted them mental health of everyone.
43755.99375,R_2zoQe1H6abVSPUJ,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,"2,4",Welsh,5,9,,9,5,6,1,,,"I lived in a small rural town where most everyone is focused on their physical attributes instead of their minds. I was fat in elementary school and in junior high, and then being called fat and ugly by school mates and relatives caused my eating disorder. The people in my town were unaware of it and encouraged me to continue to eat less and keep getting skinnier. "
43756.65208,R_29cR01ROGs5RiyQ,,EN,1,,1,19,1,,1,4,,4,5,,,,,5,USA,1,4,White,20,1,,1,5,6,1,,,My current location benefits me because I am able to continue my education and spend time with my friends. My location is also inconvenient to me because I am hours away from my family and girlfriend. 
43756.86944,R_27JP9yrrWLT0pPP,,EN,1,,1,19,7,,7,1,,1,6,,,,,6,USA,1,1,,1,4,,4,7,7,3,,,
43758.64097,R_1rxK5U9nzCx9s2Z,,EN,1,,1,18,2,,2,1,,1,2,,,,,2,USA,1,3,,3,3,,3,7,5,3,,,If you live in the city you'll always something to do so you don't have time to think about sad stuff. If you live in the middle of no where you might depressed because it's nothing to do.
43758.89236,R_3KQ8xsW2v3oItqE,,EN,1,,1,19,7,Woman,8,5,,5,2,,,,,2,USA,1,4,African American,17,5,,5,5,2,3,,,"My location gives me a lot of opportunities to form nice friendships, start a life without worrying about my surroundings."
43758.98958,R_1i23eRpxrAD6iQl,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,5,,5,6,7,1,,,My location impacts me because it is a very small town so I often feel very safe because everyone knows everyone and is willing to help anyone when needed. My relationships with my peers are amazing because it is a small town so we all just stick together. 
43759.47917,R_e8nuAmhgEIgsthL,,EN,1,,1,25,7,"he, him, they, them",10,5,,5,4,,,,,4,USA,1,1,,1,13,,13,6,4,3,,,I got nothing.
43759.55833,R_3NxFXaSdiDPZJpS,,EN,1,,1,18,1,,1,8,stright,9,3,,,,,3,USA,1,4,,4,13,,13,7,6,1,,,my  location impacts me because im not used to living on my own yet and just missing my family.
43759.97778,R_egJidr7kqLiwABr,,EN,1,,1,19,4,,4,2,,2,5,,,,,5,USA,1,"2,3",,5,"6,9",,"6,9",3,4,4,,,
43760.35417,R_2y7Ux8la0kpkPI8,,EN,1,,1,18,1,,1,4,,4,5,,,,,5,USA,1,"2,3",,5,3,,3,6,6,1,,,I think the weather and what your surrounded by impacts your happiness and your life style
43760.35556,R_27UOZBH2uG86vIE,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,1,,1,6,7,1,,,I am from a very close community where everyone knows everyone. This makes it easy to have someone to talk to. I always feel safe and happy in my community.
43760.39236,R_2ZKqMDrSoBKVHLk,,EN,1,,1,18,1,,1,4,,4,5,,,,,5,USA,1,2,,2,"3,5",,"3,5",6,7,2,,,I think that location can change a ton of things about your life especially your education and your economic status.
43760.84931,R_1KxRqkmP8E4DyXL,,EN,1,,1,19,2,,2,4,,4,5,,,,,5,USA,1,3,,3,"3,9",,"3,9",6,7,2,,,"Well my hometown, which is the address I put, makes me extremely depressed. Everyones relationships are toxic and everyones health is awful. "
43760.85,R_31WL9ECGyqt5v9o,,EN,1,,1,20,1,,1,4,,4,5,,,,,5,USA,1,2,,2,3,,3,7,7,1,,,my location impacts me because I am a short distance to a large number of medical phystlities. my location is also key when in relationships the other sex is available in my location.
43760.85139,R_33dnH4fHY1crAgb,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,"3,6,9",,"3,6,9",5,4,3,,,"I love my hometown, it is the location that I marked in the beginning. "
43761.81806,R_DpLn7CaJ2oODol3,,EN,1,,1,20,2,,2,4,,4,4,,,,,4,USA,1,1,,1,3,,3,5,5,2,,,My location impacts me because it is a relatively good location. It allows me to live as well off as possible. 
43762.02431,R_3hrQrVYqbpvibK8,,EN,1,,1,18,1,,1,4,,4,"2,5",,,,,3,USA,1,1,,1,5,,5,5,7,2,,,"I think college is stressing me out, but making me stronger at the same time. I am forced to be more independent, self-aware, and having to work 10 times harder than I did before. "
43762.36319,R_1OSNUtXnAHqoxJf,,EN,1,,1,18,1,,1,4,,4,5,,,,,5,USA,1,"2,3",,5,3,,3,6,7,1,,,I'm a white male and I try to live life to the fullest and I don't let things get me down. 
43762.38056,R_2DNeZsCdpVzFdkT,,EN,1,,1,18,1,,1,4,,4,5,,,,,5,USA,1,"2,3",,5,3,,3,6,7,1,,,I'm a white male that doesn't let things get me down regardless of the situation.
43762.61181,R_3qew482Z6SHh34l,,EN,1,,1,18,1,,1,4,,4,"4,5,8",,,,,3,USA,1,"1,3",,5,3,,3,6,5,2,,,I have always grown up close to family and that has given a strong support system and able to talk to them about what I am going through and what they did in my situation.
43763.06528,R_3j7mPd3CIDZTMvs,,EN,1,,1,30,2,,2,4,,4,5,,,,,5,USA,1,4,does not apply,18,"1,5",,"1,5",3,2,2,,,
43763.54722,R_2zMxVIbacwP5DCg,,EN,1,,1,19,7,Male,9,4,,4,5,,,,,5,USA,1,4,n/a,18,1,,1,5,4,1,,,it is very safe.  I live a block away from a hospital and fire department.
43763.59028,R_1cUIfc7vd1EauNt,,EN,1,,1,20,7,Female,8,4,,4,"2,4",,,,,3,USA,1,1,,1,3,,3,6,5,2,,,
43763.68958,R_22Am5N3utH96sCS,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,3,,3,1,,1,5,7,1,,,"I live in the country in a small town so there is little to no crime, but there aren't many people so relationships are hard to find."
43764.77083,R_239K4xGc7mBtIXY,,EN,1,,1,21,2,,2,2,,2,5,,,,,5,USA,1,3,,3,"3,9",,"3,9",3,3,3,,,"Carbondale itself is not a bad place to live. I moved from Alaska in order to be with a significant other whom I am no longer with. So now it's hard living here, because I did it for her. "
43765.73542,R_TqswRDm627ptGed,,EN,1,,1,18,2,,2,4,,4,"4,5,6",,,,,3,USA,1,1,,1,3,,3,6,5,2,,,My location impacts me because it helped me become who I am today.  
43765.85972,R_3MMpEk4WEb3UaGF,,EN,1,,1,19,2,,2,2,,2,5,,,,,5,USA,1,4,American,6,3,,3,6,4,2,,,I would say that my location doesn't affect me physically but since I moved so far away from home it has affected some of my friend relationships. I have definitely lost touch with a lot of people that I wish I was still close to and that has had a little bit of an effect on my mood at times.
43765.86458,R_SPihjsysPwo5Z5v,,EN,1,,1,19,2,,2,2,,2,5,,,,,5,USA,1,4,American,6,3,,3,6,4,2,,,"I'm not as close o a lot of my close friends which has often caused me to be more sad than normal however in regards to my physical health, my location does not affect me at all."
43766.60278,R_1OxYCzfChyVYqB4,,EN,1,,1,22,1,,1,4,,4,7,,,,,7,USA,1,1,,1,11,,11,5,6,2,,,
43766.65,R_27dsnaUjAEAPx3U,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,"2,4",English ,5,3,,3,5,6,1,,,I live in a small town when im on break from college. There arent many people there and everyone knows everything about your life so it is hard to build new relationships
43766.67431,R_2sdUBAooB4mKXci,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,"2,4",english,5,3,,3,6,5,1,,,My town is small so it is hard to build new relationships especially when everyone knows everything about you
43766.74792,R_3kpIfpPcqz946ph,,EN,1,,1,20,1,,1,4,,4,2,,,,,2,USA,1,4,African-American,17,"1,5,9",,"1,5,9",3,3,4,,,location makes me feel isolated from others
43766.97431,R_3wloSZYMhrcGtYl,,EN,1,,1,20,2,,2,4,,4,2,,,,,2,USA,1,4,,4,13,Normal,14,7,7,1,,,The area in which I live in is known for sex trafficking. Sometimes I get a little worried but I am always aware of my surroundings and I am hardly ever alone. I don't fear so much for my life because I feel like I can handle myself. I get a little fearful when it comes to my younger cousins. 
43767.40972,R_3ndbGy9yDy6Rd0x,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,3,,3,7,4,1,,,Everyone has strong relationships with each other within my community because we are a very small rural town and everyone loves everyone.
43767.47847,R_3LiJ2a6EAglNh85,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,3,,3,6,6,1,,,The environment I grew up in shaped me into the person I am today.
43767.70417,R_2S2db0EY9EvfLJi,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,3,,3,3,,3,6,5,1,,,
43767.76111,R_2rq4GKlnT8xtui7,,EN,1,,1,18,2,,2,1,,1,5,,,,,5,USA,1,4,white,20,6,,6,4,2,2,,,I do not think my geographic location is a source of a lot of my problems. I do think that being away from those who care about me and I believe to be important in my life does effect me negatively.
43770.44792,R_1qW1vP0qE1Zq0CL,,EN,1,,1,18,1,,1,4,,4,5,,,,,5,USA,1,4,White,20,1,,1,7,7,1,,,The environment I am in is unmatched. I have everything and anyone I need when I need them. I have all the resources to keep my emotional and social needs met. I love my life and everything I do. I have a great internal drive and motivation along with my peers cheering me on.
43770.57431,R_PLqDtiaBZsH47eh,,EN,1,,1,18,2,,2,4,,4,"1,5",,,,,3,USA,1,4,"asian, white",5,1,,1,5,6,2,,,"Living in Illinois is a huge transition in my life, for I came from California. I believe that I still maintain strong relationships from back home and have made several strong relationships at college. "
43770.57708,R_1LjplPzItVXTXPv,,EN,1,,1,18,2,,2,4,,4,1,,,,,1,USA,1,4,Chinese ,23,1,,1,6,6,2,,,"Living In Illinois versus California is a huge change, but I still have good relationships from back home and have made many new ones here. "
43771.64514,R_32VXUEkFgKaxErR,,EN,1,,1,18,1,,1,1,,1,2,,,,,2,USA,1,4,Black,17,9,,9,4,5,3,,,I donâ€™t really think about what other people have to say about anything that has to do with me. Itâ€™s mostly just what I think about myself. As far as safety I guess itâ€™s pretty good. 
43771.7,R_31QLC0hHyGEAEX8,,EN,1,,1,18,7,Woman,8,8,straight ,9,5,,,,,5,USA,1,3,,3,5,,5,6,5,1,,,I think that living in a small town makes it harder to make friends because of all the stereotyped groups. 
43771.83958,R_6Lk3UNQX9Ue4gDL,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,4,White,20,1,,1,5,5,1,,,"I live in a very religious area, and while the queer community isnâ€™t bullied or hated on, there are some hardcore religious people who use anti flags and other miscellaneous acts to let them know how they feel."
43772.03056,R_1mC5FiTDMOZP2IY,,EN,1,,1,18,2,,2,4,,4,"2,5",,,,,3,USA,1,4,None,18,5,,5,6,5,2,,,"I don't think my location impacts me in a negative way, mostly positive. "
43772.27153,R_DdxwsB6rt6c34M9,,EN,1,,1,18,2,,2,4,,4,2,,,,,2,USA,1,4,does not apply,18,3,,3,5,7,2,,,
43772.27569,R_3hEFr4BIjeBf16k,,EN,1,,1,18,2,,2,4,,4,2,,,,,2,USA,1,4,does not apply,18,3,,3,5,7,2,,,
43772.57639,R_880gBfUQGcyYFmF,,EN,1,,1,20,1,,1,4,,4,5,,,,,5,USA,1,2,,2,3,,3,5,7,1,,,I live in a good town where we are close with a lot of our neighbors
43772.63056,R_2YWXHZqDmmZy1gd,,EN,1,,1,18,2,,2,4,,4,2,,,,,2,USA,1,4,Black,17,3,,3,7,5,2,,,
43772.68681,R_3MlCG1Qkd2lDxnS,,EN,1,,1,18,1,,1,8,Straight ,9,2,,,,,2,USA,1,1,,1,3,,3,5,7,2,,,From moving so much Iâ€™ve learn to adapt to different environments and build relationships with people easier.
43772.76042,R_1Q6Gk18EwofBQmd,,EN,1,,1,19,1,,1,4,,4,5,,,,,5,USA,1,2,,2,1,,1,6,6,1,,,I believe being away from home and where it is hard to be in contact with people has really affected me. I play a sport and there are constant stress and emotion that you have to put into it every day. 
43772.775,R_2fnRt84KtUe61e9,,EN,1,,1,19,1,,1,8,Straight,9,5,,,,,5,USA,1,2,,2,3,,3,6,6,1,,,"My location impacted me in many ways. First, my location was a decently affluent area in the county and I went to a good highschool. It effected my relationships with friends in a semi negative way because we are always trying to stay up with unneeded social standards."
43773.675,R_3feEnZvV1GTpoEZ,,EN,1,,1,18,1,,1,4,,4,3,,,,,3,USA,1,"1,2",,5,1,,1,6,4,2,,,I feel very comfortable with the area I am in and feel no harm. The area is very relaxing to me and I feel calm when I am outside. 
43774.68819,R_231blhd1jibYUan,,EN,1,,1,18,2,,2,4,,4,1,,,,,1,USA,1,4,Chinese,23,1,,1,6,6,2,,,I have many great relationships so therefore I have many people to go to for help
43775.43264,R_2zvVcKPxYR1O3Vh,,EN,1,,1,19,2,,2,4,,4,2,,,,,2,USA,1,4,,4,"5,13",race minority,5,5,4,2,,,I live on campus and I feel more safe here than my home town. Here they have a police force in close proximity and they have security that patrols campus. I also have access to a hospital if needed and the school provides me with transportation to get around.
43776.825,R_2qfmCa8voCxCzTo,,EN,1,,1,18,2,,2,8,Straight,9,2,,,,,2,USA,1,4,American,6,3,,3,7,5,2,,,"My location impacts me because I have people to trust, and people to stay by my side at rough, and difficult times."
43776.82917,R_UuM2tHyiyV69Jdf,,EN,1,,1,18,2,,2,8,straight,9,2,,,,,2,USA,1,4,American,6,3,,3,7,6,2,,,"My geographic location id full of fun and sad memories. It can be stressful and also a little bit overwhelming. My body is tired than usual, I just feel like giving up but i have supportive people that stand by me and root me on to do greater things."
43777.45486,R_3hzt3PzIJtINitl,,EN,1,,1,18,2,,2,1,,1,5,,,,,5,USA,1,"2,4",Norwegian,5,6,,6,5,6,2,,,"Living in a rural area, I feel it is less acceptable to be openly queer. I am safe but I bet some people are not."
43778.86111,R_1K2QY1bhjnQYVhT,,EN,1,,1,18,1,,1,4,,4,2,,,,,2,USA,1,4,Black,17,13,none,14,4,6,1,,,
43778.96458,R_3pfJdrNmvdAOKzV,,EN,1,,1,19,7,Male,9,4,,4,2,,,,,2,USA,1,4,Black,17,1,,1,6,7,2,,,I feel as though my location and relationships that I have with people around me is most definitely a positive contribution to the man that I am today.
43780.47014,R_2EB4aX67sBKg6oY,,EN,1,,1,19,1,,1,4,,4,2,,,,,2,USA,1,4,None ,18,3,,3,5,6,2,,,My location is impactful is because the people and resources around me tend to chance my overlook on my environment and help me cope with the idea of change sense coming to college from a big town and moving to a smaller town 
43781.61806,R_1LFK3JHwlaoAG8O,,EN,1,,1,19,2,,2,4,,4,2,,,,,2,USA,1,1,,1,"3,10",,"3,10",6,7,3,,,My location impacts my safety because Chicago is  a very dangerous city to live in and that sometimes effects my ability to go out and enjoy things people in safer neighborhoods can like Parks and parties
43781.64028,R_1jlhbqXkHEPEJJH,,EN,1,,1,18,1,,1,4,,4,5,,,,,5,USA,1,"2,3",,5,"1,5",,"1,5",5,5,2,,,"Living in a bigger city has tested me, and i have had to learn to adapt, since i am from a smaller town. "
43782.04028,R_pKkJ7F0qQWQkuHv,,EN,1,,1,23,2,,2,4,,4,4,,,,,4,USA,1,1,,1,12,,12,7,1,2,,,"I feel really good about where i live.
At first it was really hard because i came from a big city in Brasil and i missed the constant noise and places to go. After moving to Carbondale i felt a little depressed and very lonely even though my husband and i are very close i missed something. After a lot of Buddhists readings and yoga i learned how to love the silence and Carbondale is now my favorite place in the world.     "
43782.79792,R_24qplP8YuyuNYYX,,EN,1,,1,20,1,,1,4,,4,5,,,,,5,USA,1,3,,3,8,,8,6,6,1,,,"My location has provided me with new experiences, friendships, and new opportunities. "
43785.77361,R_3HYplMgEZX1X11P,,EN,1,,1,20,5,,5,3,,3,5,,,,,5,USA,1,4,American,6,"1,8",,"1,8",4,5,4,,,"My location impacts my friendships and romantic relationships, as they are frequently long-distance. My location and the locations I have lived at in the past influence my identity as well; I frequently moved cross-country or to other countries growing up which solidified my ethnic identity as I felt disconnected from any ancestry or place more narrow than the United States"
43786.67778,R_1kUDvP3cuCVMVtT,,EN,1,,1,19,1,,1,4,,4,5,,,,,5,USA,1,"2,3",,5,9,,9,6,4,1,,,"I live basically in the middle of nowhere, is how my relatives and I describe it. For as long as I can remember I have felt disconnected from my community and friendships because they all live close to each other and spend time with each other while I'm left behind. Because of this, growing up I feel easily attachable to new people in my life and it is hard to cope with leaving relationships behind. For example, moving to college is tough for most people but struggling with being away from my family and siblings has been extremely rough and has a large impact on my work ethic in college thus far."
43786.85625,R_3QWfsH62DFI2g2T,,EN,1,,1,20,2,,2,4,,4,5,,,,,5,USA,1,2,,2,1,,1,6,6,1,,,My home is St.Louis so there are often times when I do feel unsafe in where I am and that has defintely affected my life in times with wanting to hang out with friends or go to sporting events. I have had people I know die in violent attacks. 
43787.53264,R_3j6GlYdkpgJBjyl,,EN,1,,1,19,2,,2,1,,1,5,,,,,5,USA,1,3,,3,6,,6,6,7,2,,,Most everyone I've met has accepted my sexual orientation. I very seldom encounter homophobia. 
43787.59583,R_3FLrUR63dyidKE6,,EN,1,,1,18,2,,2,4,,4,4,,,,,4,USA,1,1,,1,"3,5,10,11,12",,"3,5,10,11,12",5,3,6,,,"Where I live there is no help for undocumented immigrants. For that reason, my family and I think hard before going to the doctor. In fact, we almost never due, unless it is an absolute emergency. This really has a big effect in my health. I have had jaw pain for the past couple of months and although my parents have tried to convince me to get seen by a doctor, I know that we can not afford it. "
43787.64722,R_3EApYb71KAGC9vN,,EN,1,,1,18,2,,2,4,,4,2,,,,,2,USA,1,4,Black,17,,,14,7,7,1,,,
43787.73889,R_3gR8CZ1ercurXhP,,EN,1,,1,18,2,,2,4,,4,5,,,,,5,USA,1,2,,2,3,,3,7,7,1,,,I am comfortable in my location and I know most people there.
43787.88681,R_Dv4xNkvb1kYhIxX,,EN,1,,1,18,1,,1,4,,4,2,,,,,2,USA,1,4,American,6,"1,3",,"1,3",5,3,3,,,"I think the fact that I grew up mainly in a black home, black parents in general tend to care less about their children's emotions. They feel as though because I'm a boy, emotions are not a thing. "
