id,language,country_code,age,gender_code,sex_orient_code,race_code,minority_code,qual_life,resources,qual
R_37AQRVSkhJHl1jr,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"My location has a huge effect on me as a person because I have access to many things that others don't. Since I was raised in a nicer area with parents who can afford it, I didn't learn until I was older how lucky I was to be raised like that and how hard other people work to get less than what I have."
R_O7nE5cD31QAgLYt,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I am very close to the student health and wellness center if I ever needed anything.
R_2ASFKRBpogRESRu,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,7,7,"I live in a small southern town.  Everyone knows everyone and if you do not your life to how the public of my town thinks you should, then it is really frowned upon.  It causes a great deal of stress especially when it comes to relationships."
R_2rIuDWrKrZqh5QK,EN,United States,20,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,5,its a great place
R_1SVVAKqQWlhWwQF,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"Yellow Springs ohio is very liberal, I grew up feeling safe in a community that had open welcome arms and that was always ready to help anyone. I feel as if this made me the strong assertive happy person I am today."
R_2tyYfly0nnQSrUp,EN,United States,25,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,6,"Being in such a culturally diverse setting, I find that most people keep to themselves but are very polite during the exchanges that take place. This is unique to a small town in my opinion, and I personally enjoy it a great deal. I like the silence and am very introverted."
R_1gqGxnJb0hKKmDk,EN,United States,21,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,My location impacts me navies it is a rural area so I have become very independent
R_3oGcWYPHxlyUDsl,EN,United States,20,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,i am in a good situation where i live close to medical attention and have healthy rlationships with the people around me
R_31ZPRxFaKccufh9,EN,United States,19,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"Geographic location can shape a person into who they are through their morals, but this isnt always the case."
R_10CmPcuCDGmAckV,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"My geographic location both at SIU and back home are good. My hometown is right next to the capital of the state (it's only a 10 min drive) so I have access to any resources that I would need for both mental and physical health. Since I don't live in the city I feel safe, even when I am in the city I have never felt unsafe. The Springfield Police Department does a good job of keeping everyone safe. SIU does a good job of providing for all of our needs as well. They also do a good job of keeping us safe on campus."
R_3lLyTcVtnnQRC9i,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,I live in a good suburb of St. Louis where I have a lot of friends. I never really have to fear for my safety when I am out and about in the area.
R_2BkUUZBpGv7ndSa,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"I think growing up where I did sheltered me a bit, but living so close to Champaign it was very diverse."
R_XnMNMRB8Re2D4Nb,EN,United States,18,Cisgender Man,Heterosexual,White/European,Self-ID with No Write In,7,7,where I grew up it was a very small farming community where everyone knew everyone the only safety concern was druggy's.  it was a very safe environement.
R_2qxCfBieu5wiunr,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,growing up in a small town and knowing everyone has made the move to college very difficult
R_3smKgq8xo6UmUJL,EN,Canada,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,"More complicated than it seems as I am in New York for school but live and grew up in Vanocuver, B.C. Canada. I grew up in a smaller town which helped become a leader and go-getter."
R_2bhNnN9dMchncVb,EN,United States,19,Female/Woman,Straight,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,"My location impacts me because I believe, who and what you are surrounded with will effect your every day life. Where I live is in a middle class happy place. I believe your location can change the way you see things and how you act for example if you grew up in the hood you may get involved with drugs because you grew up with that."
R_23dTFGhgDcGbMjD,EN,United States,21,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,3,7,"I grew up and still live in a suburban town mixed with people of all classes and races. Primarily Bergen County is a higher class and white town so I feel that safety and health was not much of a concern growing up. There are many emergency expresses near by and other services that are easily accessible. The towns police and departments are always out patrolling. The only time I felt unsafe was when my familys home had a fire a couple years ago and was displaced for months. This was because we had  to move and learn new ways of getting around and was sort of thrown outside of our comfort zone. Other then that, I personally have never felt a significant negative impact on my safety, health, or relationships."
R_2bPhZms4Ctmu8wN,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,My location often helps me deal with my anxiety because I have a lot to do and am never bored. I often feel better than normal because of my location.
R_vdwoG5GNqyQs493,EN,United States,21,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,"I grew up in a fairly safe neighborhood, as a white kid In a primarily white town I never felt discriminated against."
R_271d3vThmkxQhiD,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,My location provides many resources for me and is a very safe neighborhood which i am thankful for.
R_3HHxSVNRCYT1PUZ,EN,United States,20,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,My location is very safe and gives me great access to healthcare.
R_2bp1RudIR8oluEx,EN,United States,22,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,my living area some times is a bit scary to be iin but it is never something that is a precaution to deal with or a life hazard
R_3RdU8p5QkTH6GIl,EN,United States,20,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,4,3,"Safety - a bit worrisome because I live in New York City where there is a lot of increased levels of crime and such 
Health - does not tend to affect this at all 
Relationships - boosts it because most of my friends are from where I am from"
R_2YlXYAK20q2D5WJ,EN,United States,18,Cisgender Woman,Straight,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,being at school away from home it helps me to find who I am as a person. I am finally on my own which allows me to be who I am and find  my path without anyone interfering.
R_2V9g51NyAoVTZWJ,EN,United Kingdom,21,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"Living in a large city contributes to a sense of social isolation, something with which I am coming to terms with now."
R_12focScEA7MkPqY,EN,United Kingdom,33,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"I live in a relatively wealthy monocultural area. I am from the prevalent ethnic group in the area. I am young, fit and healthy, so I whilst I can feel very positive and resilient, I am unaware of what true hardship is like."
R_2YswRDZ0G3Gl5HB,EN,Greece,23,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,"Since I live in the capital of Greece, Athens I have access to very many different places; nit only regarding my job and medical issues, but also based on my friendships and night outs."
R_umLl8F0Pow7pDj3,EN,Bermuda,49,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"I live in wealthy country by all global standards and have been a successful executive, father and citizen (by all reasonable measures).  I am white male in a predominantly black country with an increasing wealth gap that is causing social strain.  I have access to good healthcare, good family and friend relationships but can sometimes feel isolated."
R_1qX1g2Tn1LniBtv,EN,Bulgaria,22,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,I live in my native country with my native people. I like my country and people and have never thought of going anywhere else.
R_1gOLjGzxvnPRMVs,EN,Bulgaria,22,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,"I am live in a central location near a park, so I had the chance to make solid friendships early on in life.
"
R_2rPCP3AwSSZfMhU,EN,United States,22,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"I grew up in the rural mountains of North Carolina. While I now attend medical school and have had a solid socioeconomic standing while growing up. My school and community was severely underserved. The community does not hold many of the important specialties, especially when concerning pediatric care. More so, mental health initiatives and counseling help is extremely limited in the area and can lead to challenges throughout the community. 

For example, I was required to travel close to 200 miles round trip in order to receive treatment for a pediatric bleeding disorder as a child. The closest PICU is the same distance and has led to significant challenges for both my family and even more throughout the community. Emergency medicine is the highest risk in the area as transport can lead to poor health outcomes, particularly due tot he isolation associated with the community. The areas tobacco and drug problems are a extremely significant as well, as a result of previous tobacco  industry in the area, lack of resources to mental and physical health, poor education system, and low socioeconomic status. 

Watauga county has the largest socioeconomic disparity in the state of N.C. this translates to a food insecurity rate approaching 25-33%, an astounding number. This further complicates health in the region."
R_1mR9nDiyxTHqWgL,EN,United Kingdom,35,Female/Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,I m satisfied with the place and location I m living . I m happy at the moment and I m sure  I can achieve anything I wish for soon or later .
R_3NUP74qFioQI5Wd,EN,Malta,58,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,Currently living in an urban area where I enjoy my voluntary work. About to move internationally so will have to make new friends and find new voluntary work. Excited about changes but stressed over practicalities.
R_1IXgTFMTZ1ta7SF,EN,Bermuda,49,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,i am very lucky to live where I do. The weather is usually beautiful and the people are overall warm and kind. It is very safe.
R_3Ra9CkZ3Ucuamur,EN,Bermuda,53,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,No impact at all.
R_2OTKpA81uFXlJSQ,EN,United States,46,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I don't know that my location affects this much other than the good fortune of living in a first world country (which I do think matters quite  a bit).  I think it's more impactful that I am well educated and successful professionally giving me financial wherewithal to meet my needs and the needs of those I love.
R_1Lp4nJW0u8KskqY,EN,United Kingdom,20,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"I feel safe, happy and healthy where I am."
R_3kHQlelexDMWTw2,EN,United States,20,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,I live in a very busy environment!
R_PXnt8TeiJ4paIE1,EN,Bermuda,57,Male/Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"I have a loving family, good work life, great friends, am engaged in my community, support those less fortunate and hate tribal politicians who do little to uplift the less fortunate and less educated for the betterment of all."
R_1eDdlhAHyhJNka8,EN,United States,74,Female/Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"My location, a small town, is a wonderful place to live. My only complaint would be that everybody thinks they know everybodyâ€™s business, and often gossip about it!!!  Typical small town I suppose..."
R_3sgpO2LYjpnLYkK,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"My location puts me at a disadvantage to communicate with those of other cultural backgrounds. I have been blessed to be put into such a diverse church and university, but apart from those I grew up in a redneck, white town.

I live in the middle of no where so it is pretty safe out here. There are disadvantages of wanting to communicate with others in person as I must travel quite a distance to see people. My family also has to drive that length to get groceries as they are not accessible out here."
R_PCCIxMpSoxU77tD,EN,United States,23,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,Iâ€™m in NYC (New York City) so their is no particular impact on me if being here so many people each with their own identity
R_40IKoTGeC4PWKyt,EN,Romania,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,-
R_3rGribQ0efgcvkz,EN,United States,27,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,I live in nyc and therefore I am exposed to many different types of people from all walks of life. My environments are generally accepting of all people. I always feel safe and have a lot of friends and community around me
R_24NNWS0eLX1ZcSg,EN,United Kingdom,22,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I have recently moved house and its helped with my life.
R_2tsr4YRnk70UT3w,EN,United Arab Emerits,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,spending my time in abu dhabi makes me feel comfortable and positive at all times. i feel like i have a family around me in campus. i constantly feel safe and i am satisfied with the environment which impacts my health positively.
R_2v0QyowjtiZ6jAn,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,Growing up where I did made me able to keep myself occupied and happy with little to do. Moving to Carbondale has changed what I have access to and made me feel more lethargic and depressed more often. I had more close relationships in my small town than in a larger city like here.
R_28zI7xv0KkKa4wl,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,I was fortunate to grow up in a middle class area. Despite some family issues I've had pretty good relationships with my family. My safety and health is pretty good and has not been an issue.
R_1DBDoxOhaZCr3JM,EN,Nigeria,30,Male/Man,Heterosexual,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I like my location because it enables me to freely and most easily have access to basic facilities that make life much more easier; though sometimes it could be noisy.
R_1rAlJ4zjZy3Rz5v,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I feel that my location has little impact on my health or relationships.
R_1LdtHVx2Mcu7Has,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,4,5,"My location is a bit far away from campus, but I like that it is a quiet, safe neighborhood. There are not many people that know where I live. I have interacted with one of my neighbors before, and that helped ease some tension."
R_3HB3PJfBKmNv1aV,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,3,"My location is near a college campus. This may get rowdy at times, but I live with non-college students, so it's more relaxing."
R_27Qe6twIrA2vDot,EN,United States,25,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,Iâ€™m from an area that is generally considered poor. I feel safe there. I have access to healthcare within 30 min. I would consider this area somewhat rural even though it is a residential community.
R_2zZ9lyiUObBdVSq,EN,United States,23,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"I live 2 hours away from where I attend school, so there have been some logistical challenges when it comes to healthcare. It is sometimes difficult to be away from family, but Iâ€™m used to it at this point and use other ways to stay in contact like texting and FaceTime."
R_2fHggnk747T3fYs,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,6,6,My location impacts me because of the fact that it is not very convenient because I am so far away from everything.
R_p0hGAdGwNyfuMUx,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,6,6,I live out in the country and always have. I enjoy living a simple life life and never really get worked up over certain aspects of my life.
R_1q84CxiUDRPoK9w,EN,United States,25,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"Location does not impact me as I try to be self reliant and handle things on my own regardless. I am closer with friends than family, so I turn to them if I need any advice. School offers many resources that I can use if it comes down to it."
R_UsVTMLWdkWe72Df,EN,United States,48,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,Live near family and where I grew up so it's extremely positive.
R_0cGwthKeFvlSEbD,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,7,7,My location is quiet private which allows me to feel safe. Its a relaxing place where I can destress and feel most comfortable at.
R_1mwuMKzdVUPazEB,EN,United States,28,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,5,None
R_1kLBJ4ovQTVJVZ3,EN,United States,22,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,I have a very safe home that is welcoming with a supportive family.
R_pgxDGSdwWddZoyd,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,4,6,"I like where I live. I live with my mother and I am close to my dad's house so if anything happens or I need a getaway, I can just go there for a little while. Its nice living close to school also,makes it easier for me to commute and not have to worry so much about rushing. I'm in a good place, everything is close around me and it makes me feel better."
R_1n9FsGMeHGni4YG,EN,United States,36,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,"I live in the suburbs, and I feel this insulates me from many threats to health and safety. It also limits the relationships I form with others as there just aren't as many people around compared to denser areas. My neighborhood is also very racially homogeneous, and the lack of diversity negatively impacts my experience of culture and perspective."
R_9mkbx4XP000Sbmx,EN,Nigeria,33,Cisgender Woman,Heterosexual,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,4,5,"My location is Ozuoba, Rivers State, Nigeria. My location is fairly safe as the whole country is in a state of serious insecurity.
There is a nearby Health Centre. And my location has no negative effect on my relationship."
R_1gFJguu6xFQUHYc,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"my location is safe 
my health is good and i have access to good healthcare all of the time."
R_qVhNuGsVow078oV,EN,Nigeria,34,Cisgender Man,Self-ID with No Write In,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,4,3,"My environment give me peace. Its most peaceful with opportunities .
"
R_sComwTY8GFeCalz,EN,Poland,26,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I do not really know
R_3iOK6XGuOfX9Ty2,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"I am fortunate to live where I do. I feel safe, have good relationships and its a good area."
R_29gmaBkevra8IJ6,EN,United States,73,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,Satisfied with location but location may have to change upon becoming elderly. This is an unknown and depends on health. Family is nearby with close relationships which contribute to safety and happiness
R_T6s672j3nfvwR9v,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,I personally live in the country & I think being on the outskirts of town away from all of the noise can definitely keep your mental health in check. & working on the farm brings me closer to my family.
R_bd9YtQwLFq427Ul,EN,Poland,26,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,My location makes me sad and even more depressed
R_1GDrv6lJu56cMpS,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"Iâ€™m a straight woman and Iâ€™m currently in a happy and loving relationship with my boyfriend. I feel completely loved if not by him, by my family everyday. The only thing that does feel empty is my friendship relationships, Iâ€™m hoping to build more this year."
R_WdsMiejvPPB18BP,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Self-ID with No Write In,6,7,I love the small town of Claysville!
R_ukxnBp0U2Uc71i9,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,"Location affects me by having a far distance between school, home, friends, and partner. It can see like a waste of time some days to make the trip to simple talk in person instead of over the phone."
R_2Ez2KE0Z9JvPQ6k,EN,United States,20,Cisgender Man,Heterosexual,White/European,Self-ID with No Write In,5,7,New Martinsville is not really a place for young people because there is nothing to do.
R_2agkKyecJv9mKzQ,EN,United States,20,Cisgender Man,Heterosexual,White/European,Self-ID with No Write In,6,7,There is nothing to do here.
R_2ql09Ac6O87qs9H,EN,United States,19,Cisgender Man,Heterosexual,White/European,Self-ID with No Write In,6,6,There is nothing to do here.
R_279h7hbj8LxTBVY,EN,United States,20,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I believe my geographic location makes me have better relationships because I am around the people that support me the most.
R_3qJNtp31Xle0DBN,EN,United States,19,Female/Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,6,"I live on east campus at SIU and I've never felt unsafe and I'm close to my friends, boyfriend, and family. I have a doctor and pharmacy out here as well. I live well out here."
R_XifBUfJXhgU3bcR,EN,Germany,24,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,I'm originally from Akron Ohio and most of my close friends from the Marines are spread throughout the US so I feel lonely here with phone calls being most of my human interaction.
R_3qqjWjSHkCbmhlO,EN,United States,18,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,"My location is pretty decent, I think it has only had poison is impacts on my life."
R_28BXn2Ap709xrxq,EN,United States,18,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,I live in a smaller area where everyone knows each other and what they have done and what they are going to do. I feel safe almost all of the time but relationships are hard to keep true. Everyone around me is always going to know who I am but that doesnâ€™t mean we are close with each other. For the most part everyone I associate with are very caring people so when one of us are struggling all of us are struggling because we want to help.
R_eh5U2JS4FGhQQ4V,EN,United States,20,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,5,My geographic location is very out of the way and makes it difficult to physically connect with others.
R_3Myd7AoW0ABuwGY,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I feel unsafe at times when leaving school or work. Crime in Buffalo NY is high. I make sure to carry pepper spray with me for a little sense of protection.
R_27ydl0mLd8rp07Y,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,5,"My safety is mostly impacted by my geographic location. The neighborhood is becoming unsafe as my home is in a high traffic area. My home is in between two apartment buildings so I rarely get the chance to know my neighbors and don't really care to at this point. There are a lot of businesses and stores nearby which allow the possibility of break-ins and robberies as they have happened before. One of the suspects has cut through my back yard one in attempt to run away from police. My health is okay but I often despise my home and think it discourages me by the way it looks inside and all the responsibility I taken on by myself. All I ever do when I am home, is sit in my room."
R_3oZwS9lOI1FuvQ2,EN,United States,19,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,My location impacts me by helping me better myself.
R_1ImHevjPIHohxVb,EN,United States,47,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"My location is entirely too rainy, and makes it very hard to leave the house some days."
R_XHqKKJorCdEaHpD,EN,United States,20,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,7,It heavily limits relationships due to lack of people. Its a nice peaceful area so you are able to relax much more.
R_1jUGLRLNJ5adtuY,EN,United States,21,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,5,"My location impacts me by secluding me from the busy city life that surrounds me. I feel safe and comfortable at home, but somehow like i am still an outsider due to my roommates."
R_577walOl7O5vGPn,EN,United States,25,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,Na
R_3PnMA8eI79UEkWg,EN,United States,25,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I get bored and lonely in Sacramento
R_2D6LcpvKBxfadOr,EN,Canada,20,Cisgender Woman,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"I live on the outskirts of the country where it is very quiet but I have always enjoyed a rich lifestyle and both of my parents are married while my mom stayed home to raise both myself and my brother. Our location is safe with a large supportive community with hospitals, grocery stores, drug stores, gas stations and so much more within a 10 minute radius of my home. There has never been a fear in my family of sickness being a life threatening issue or of our home being separated. I have lived a happy life so far."
R_2t4OyUlKmxhfGBO,EN,United States,44,Cisgender Man,Heterosexual,White/European,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,7,I live in a high crime area. I almost always keep my doors locked. Theft is a terrible problem in my community. I wish that people could respect other people's property. It makes it very difficult to trust. I hope that this will change.
