id,language,country_code,age,gender_code,sex_orient_code,race_code,minority_code,qual_life,resources,qual
R_3O1ZoHi4yTTlDVH,EN,United States,21,Cisgender Man,Heterosexual,Latina/o/x,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,4,5,My location does not affect my identities too much. The only way it would affect my identity is by slightly amplifying my Latino identity due to the lack of Latino presence in Carbondale.
R_3qJcC2atXySx3Wp,EN,United States,19,Cisgender Woman,Heterosexual,White/European,Low Resourced,4,4,Back at my hometown (where I marked on the map) mental health wasn't something that really ever talked about. I think it definitely impacted them mental health of everyone.
R_2zoQe1H6abVSPUJ,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Mentally Unwell,5,6,"I lived in a small rural town where most everyone is focused on their physical attributes instead of their minds. I was fat in elementary school and in junior high, and then being called fat and ugly by school mates and relatives caused my eating disorder. The people in my town were unaware of it and encouraged me to continue to eat less and keep getting skinnier."
R_29cR01ROGs5RiyQ,EN,United States,19,Cisgender Man,Heterosexual,White/European,Larger Bodied,5,6,My current location benefits me because I am able to continue my education and spend time with my friends. My location is also inconvenient to me because I am hours away from my family and girlfriend.
R_1rxK5U9nzCx9s2Z,EN,United States,18,Cisgender Woman,Bisexual,Black/African,Unemployed,7,5,If you live in the city you'll always something to do so you don't have time to think about sad stuff. If you live in the middle of no where you might depressed because it's nothing to do.
R_3KQ8xsW2v3oItqE,EN,United States,19,Female/Woman,Panromantic/Pansexual,Black/African,Low Resourced,5,2,"My location gives me a lot of opportunities to form nice friendships, start a life without worrying about my surroundings."
R_1i23eRpxrAD6iQl,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Low Resourced,6,7,My location impacts me because it is a very small town so I often feel very safe because everyone knows everyone and is willing to help anyone when needed. My relationships with my peers are amazing because it is a small town so we all just stick together.
R_e8nuAmhgEIgsthL,EN,United States,25,"He/Him, They,Them",Panromantic/Pansexual,Latina/o/x,Self-ID with No Write In,6,4,I got nothing.
R_3NxFXaSdiDPZJpS,EN,United States,18,Cisgender Man,Straight,Multi-Racial,Self-ID with No Write In,7,6,my  location impacts me because im not used to living on my own yet and just missing my family.
R_2y7Ux8la0kpkPI8,EN,United States,18,Cisgender Man,Heterosexual,White/European,Unemployed,6,6,I think the weather and what your surrounded by impacts your happiness and your life style
R_27UOZBH2uG86vIE,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Larger Bodied,6,7,I am from a very close community where everyone knows everyone. This makes it easy to have someone to talk to. I always feel safe and happy in my community.
R_2ZKqMDrSoBKVHLk,EN,United States,18,Cisgender Man,Heterosexual,White/European,NA,6,7,I think that location can change a ton of things about your life especially your education and your economic status.
R_1KxRqkmP8E4DyXL,EN,United States,19,Cisgender Woman,Heterosexual,White/European,NA,6,7,"Well my hometown, which is the address I put, makes me extremely depressed. Everyones relationships are toxic and everyones health is awful."
R_31WL9ECGyqt5v9o,EN,United States,20,Cisgender Man,Heterosexual,White/European,Unemployed,7,7,my location impacts me because I am a short distance to a large number of medical phystlities. my location is also key when in relationships the other sex is available in my location.
R_33dnH4fHY1crAgb,EN,United States,18,Cisgender Woman,Heterosexual,White/European,NA,5,4,"I love my hometown, it is the location that I marked in the beginning."
R_DpLn7CaJ2oODol3,EN,United States,20,Cisgender Woman,Heterosexual,Latina/o/x,Unemployed,5,5,My location impacts me because it is a relatively good location. It allows me to live as well off as possible.
R_3hrQrVYqbpvibK8,EN,United States,18,Cisgender Man,Heterosexual,Multi-Racial,Low Resourced,5,7,"I think college is stressing me out, but making me stronger at the same time. I am forced to be more independent, self-aware, and having to work 10 times harder than I did before."
R_1OSNUtXnAHqoxJf,EN,United States,18,Cisgender Man,Heterosexual,White/European,Unemployed,6,7,I'm a white male and I try to live life to the fullest and I don't let things get me down.
R_2DNeZsCdpVzFdkT,EN,United States,18,Cisgender Man,Heterosexual,White/European,Unemployed,6,7,I'm a white male that doesn't let things get me down regardless of the situation.
R_3qew482Z6SHh34l,EN,United States,18,Cisgender Man,Heterosexual,Multi-Racial,Unemployed,6,5,I have always grown up close to family and that has given a strong support system and able to talk to them about what I am going through and what they did in my situation.
R_2zMxVIbacwP5DCg,EN,United States,19,Male/Man,Heterosexual,White/European,Larger Bodied,5,4,it is very safe.  I live a block away from a hospital and fire department.
R_22Am5N3utH96sCS,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Larger Bodied,5,7,"I live in the country in a small town so there is little to no crime, but there aren't many people so relationships are hard to find."
R_239K4xGc7mBtIXY,EN,United States,21,Cisgender Woman,Lesbian,White/European,NA,3,3,"Carbondale itself is not a bad place to live. I moved from Alaska in order to be with a significant other whom I am no longer with. So now it's hard living here, because I did it for her."
R_TqswRDm627ptGed,EN,United States,18,Cisgender Woman,Heterosexual,Multi-Racial,Unemployed,6,5,My location impacts me because it helped me become who I am today.
R_3MMpEk4WEb3UaGF,EN,United States,19,Cisgender Woman,Lesbian,White/European,Unemployed,6,4,I would say that my location doesn't affect me physically but since I moved so far away from home it has affected some of my friend relationships. I have definitely lost touch with a lot of people that I wish I was still close to and that has had a little bit of an effect on my mood at times.
R_SPihjsysPwo5Z5v,EN,United States,19,Cisgender Woman,Lesbian,White/European,Unemployed,6,4,"I'm not as close o a lot of my close friends which has often caused me to be more sad than normal however in regards to my physical health, my location does not affect me at all."
R_27dsnaUjAEAPx3U,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Unemployed,5,6,I live in a small town when im on break from college. There arent many people there and everyone knows everything about your life so it is hard to build new relationships
R_2sdUBAooB4mKXci,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Unemployed,6,5,My town is small so it is hard to build new relationships especially when everyone knows everything about you
R_3kpIfpPcqz946ph,EN,United States,20,Cisgender Man,Heterosexual,Black/African,NA,3,3,location makes me feel isolated from others
R_3wloSZYMhrcGtYl,EN,United States,20,Cisgender Woman,Heterosexual,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,The area in which I live in is known for sex trafficking. Sometimes I get a little worried but I am always aware of my surroundings and I am hardly ever alone. I don't fear so much for my life because I feel like I can handle myself. I get a little fearful when it comes to my younger cousins.
R_3ndbGy9yDy6Rd0x,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Unemployed,7,4,Everyone has strong relationships with each other within my community because we are a very small rural town and everyone loves everyone.
R_3LiJ2a6EAglNh85,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Unemployed,6,6,The environment I grew up in shaped me into the person I am today.
R_2rq4GKlnT8xtui7,EN,United States,18,Cisgender Woman,Bisexual,White/European,Emotionally Disabled,4,2,I do not think my geographic location is a source of a lot of my problems. I do think that being away from those who care about me and I believe to be important in my life does effect me negatively.
R_1qW1vP0qE1Zq0CL,EN,United States,18,Cisgender Man,Heterosexual,White/European,Larger Bodied,7,7,The environment I am in is unmatched. I have everything and anyone I need when I need them. I have all the resources to keep my emotional and social needs met. I love my life and everything I do. I have a great internal drive and motivation along with my peers cheering me on.
R_PLqDtiaBZsH47eh,EN,United States,18,Cisgender Woman,Heterosexual,Multi-Racial,Larger Bodied,5,6,"Living in Illinois is a huge transition in my life, for I came from California. I believe that I still maintain strong relationships from back home and have made several strong relationships at college."
R_1LjplPzItVXTXPv,EN,United States,18,Cisgender Woman,Heterosexual,Asian,Larger Bodied,6,6,"Living In Illinois versus California is a huge change, but I still have good relationships from back home and have made many new ones here."
R_32VXUEkFgKaxErR,EN,United States,18,Cisgender Man,Bisexual,Black/African,Mentally Unwell,4,5,I donâ€™t really think about what other people have to say about anything that has to do with me. Itâ€™s mostly just what I think about myself. As far as safety I guess itâ€™s pretty good.
R_31QLC0hHyGEAEX8,EN,United States,18,Female/Woman,Straight,White/European,Low Resourced,6,5,I think that living in a small town makes it harder to make friends because of all the stereotyped groups.
R_6Lk3UNQX9Ue4gDL,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Larger Bodied,5,5,"I live in a very religious area, and while the queer community isnâ€™t bullied or hated on, there are some hardcore religious people who use anti flags and other miscellaneous acts to let them know how they feel."
R_1mC5FiTDMOZP2IY,EN,United States,18,Cisgender Woman,Heterosexual,Multi-Racial,Low Resourced,6,5,"I don't think my location impacts me in a negative way, mostly positive."
R_880gBfUQGcyYFmF,EN,United States,20,Cisgender Man,Heterosexual,White/European,Unemployed,5,7,I live in a good town where we are close with a lot of our neighbors
R_3MlCG1Qkd2lDxnS,EN,United States,18,Cisgender Man,Straight,Black/African,Unemployed,5,7,From moving so much Iâ€™ve learn to adapt to different environments and build relationships with people easier.
R_1Q6Gk18EwofBQmd,EN,United States,19,Cisgender Man,Heterosexual,White/European,Larger Bodied,6,6,I believe being away from home and where it is hard to be in contact with people has really affected me. I play a sport and there are constant stress and emotion that you have to put into it every day.
R_2fnRt84KtUe61e9,EN,United States,19,Cisgender Man,Straight,White/European,Unemployed,6,6,"My location impacted me in many ways. First, my location was a decently affluent area in the county and I went to a good highschool. It effected my relationships with friends in a semi negative way because we are always trying to stay up with unneeded social standards."
R_3feEnZvV1GTpoEZ,EN,United States,18,Cisgender Man,Heterosexual,Multi-Racial,Larger Bodied,6,4,I feel very comfortable with the area I am in and feel no harm. The area is very relaxing to me and I feel calm when I am outside.
R_231blhd1jibYUan,EN,United States,18,Cisgender Woman,Heterosexual,Asian,Larger Bodied,6,6,I have many great relationships so therefore I have many people to go to for help
R_2zvVcKPxYR1O3Vh,EN,United States,19,Cisgender Woman,Heterosexual,Black/African,Low Resourced,5,4,I live on campus and I feel more safe here than my home town. Here they have a police force in close proximity and they have security that patrols campus. I also have access to a hospital if needed and the school provides me with transportation to get around.
R_2qfmCa8voCxCzTo,EN,United States,18,Cisgender Woman,Straight,Black/African,Unemployed,7,5,"My location impacts me because I have people to trust, and people to stay by my side at rough, and difficult times."
R_UuM2tHyiyV69Jdf,EN,United States,18,Cisgender Woman,Straight,Black/African,Unemployed,7,6,"My geographic location id full of fun and sad memories. It can be stressful and also a little bit overwhelming. My body is tired than usual, I just feel like giving up but i have supportive people that stand by me and root me on to do greater things."
R_3hzt3PzIJtINitl,EN,United States,18,Cisgender Woman,Bisexual,White/European,Emotionally Disabled,5,6,"Living in a rural area, I feel it is less acceptable to be openly queer. I am safe but I bet some people are not."
R_3pfJdrNmvdAOKzV,EN,United States,19,Male/Man,Heterosexual,Black/African,Larger Bodied,6,7,I feel as though my location and relationships that I have with people around me is most definitely a positive contribution to the man that I am today.
R_2EB4aX67sBKg6oY,EN,United States,19,Cisgender Man,Heterosexual,Black/African,Unemployed,5,6,My location is impactful is because the people and resources around me tend to chance my overlook on my environment and help me cope with the idea of change sense coming to college from a big town and moving to a smaller town
R_1LFK3JHwlaoAG8O,EN,United States,19,Cisgender Woman,Heterosexual,Black/African,NA,6,7,My location impacts my safety because Chicago is  a very dangerous city to live in and that sometimes effects my ability to go out and enjoy things people in safer neighborhoods can like Parks and parties
R_1jlhbqXkHEPEJJH,EN,United States,18,Cisgender Man,Heterosexual,White/European,Short,5,5,"Living in a bigger city has tested me, and i have had to learn to adapt, since i am from a smaller town."
R_pKkJ7F0qQWQkuHv,EN,United States,23,Cisgender Woman,Heterosexual,Latina/o/x,Immigrant,7,1,"I feel really good about where i live.
At first it was really hard because i came from a big city in Brasil and i missed the constant noise and places to go. After moving to Carbondale i felt a little depressed and very lonely even though my husband and i are very close i missed something. After a lot of Buddhists readings and yoga i learned how to love the silence and Carbondale is now my favorite place in the world."
R_24qplP8YuyuNYYX,EN,United States,20,Cisgender Man,Heterosexual,White/European,Religious Minority,6,6,"My location has provided me with new experiences, friendships, and new opportunities."
R_3HYplMgEZX1X11P,EN,United States,20,Nonbinary,Gay,White/European,Diabetes,4,5,"My location impacts my friendships and romantic relationships, as they are frequently long-distance. My location and the locations I have lived at in the past influence my identity as well; I frequently moved cross-country or to other countries growing up which solidified my ethnic identity as I felt disconnected from any ancestry or place more narrow than the United States"
R_1kUDvP3cuCVMVtT,EN,United States,19,Cisgender Man,Heterosexual,White/European,Mentally Unwell,6,4,"I live basically in the middle of nowhere, is how my relatives and I describe it. For as long as I can remember I have felt disconnected from my community and friendships because they all live close to each other and spend time with each other while I'm left behind. Because of this, growing up I feel easily attachable to new people in my life and it is hard to cope with leaving relationships behind. For example, moving to college is tough for most people but struggling with being away from my family and siblings has been extremely rough and has a large impact on my work ethic in college thus far."
R_3QWfsH62DFI2g2T,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Larger Bodied,6,6,My home is St.Louis so there are often times when I do feel unsafe in where I am and that has defintely affected my life in times with wanting to hang out with friends or go to sporting events. I have had people I know die in violent attacks.
R_3j6GlYdkpgJBjyl,EN,United States,19,Cisgender Woman,Bisexual,White/European,Emotionally Disabled,6,7,Most everyone I've met has accepted my sexual orientation. I very seldom encounter homophobia.
R_3FLrUR63dyidKE6,EN,United States,18,Cisgender Woman,Heterosexual,Latina/o/x,NA,5,3,"Where I live there is no help for undocumented immigrants. For that reason, my family and I think hard before going to the doctor. In fact, we almost never due, unless it is an absolute emergency. This really has a big effect in my health. I have had jaw pain for the past couple of months and although my parents have tried to convince me to get seen by a doctor, I know that we can not afford it."
R_3gR8CZ1ercurXhP,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Unemployed,7,7,I am comfortable in my location and I know most people there.
R_Dv4xNkvb1kYhIxX,EN,United States,18,Cisgender Man,Heterosexual,Black/African,Self-ID with No Write In,5,3,"I think the fact that I grew up mainly in a black home, black parents in general tend to care less about their children's emotions. They feel as though because I'm a boy, emotions are not a thing."
R_1dyjaT0kjUpxpzt,EN,United States,18,Cisgender Woman,Heterosexual,White/European,NA,3,7,"I think my location benefits me that I have a lot of resources around me, including therapists, doctors, and so much more. However, around me it is less common to talk about my problems as openly, leading my parents to not understand every aspect. This makes it hard to actually get help somewhere, especially if I am struggling with the motivation to do it on my own."
R_3L53fqr88Dr7UP6,EN,United States,19,Cisgender Man,Heterosexual,White/European,Unemployed,6,7,"The university I live at is very open and helpful. Many different physical and emotional help options are available at all times. There are not many heavy stress factors, especially ones I cannot handle myself."
R_1pEFKSqgUhFo2Ys,EN,United States,20,Cisgender Man,Heterosexual,White/European,Religious Minority,5,7,My location has a big impact on who I am and who I have become. It is a safe place for me to live and a place I like to live. It has been good to me and provided a place of comfort and safety. I have met some great people and friends that I will keep with me my whole life.
R_1BRXIVIcf6kJjEc,EN,United States,18,Cisgender Man,Bisexual,White/European,NA,3,3,I don't feel like my location has any impact on my identities at all
R_vvIAxm5C0cpYuvT,EN,United States,20,Cisgender Man,Heterosexual,White/European,Religious Minority,7,7,"Impacts me in a lot of ways. Being around my friends, coaches and teammates helps me become who I am suppose to be."
R_3sBPSAFE5EOFbd2,EN,United States,19,Cisgender Man,Heterosexual,White/European,Unemployed,6,7,Carbondale Illinois is a very accepting and providing environment. I have full access to any resource I may need whenever I may need it. I am able to keep my life in check while owning up to all of my responsibilities.
R_2sZtVmB51R96lFT,EN,United States,18,Cisgender Man,Heterosexual,White/European,Larger Bodied,7,7,I had a very caring and backing community.
R_27kbIFZsSnTUubr,EN,United States,18,Cisgender Woman,Heterosexual,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,5,"My location is safe, and I have a lot of family support."
R_2WBEoLqzB7kCyQa,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Mentally Unwell,5,6,"I am originally from the Champaign area so I moved 2 1/2 hours from home. Some days I enjoy being away, but most days I struggle. I am very homesick and my anxiety has shot through the roof ever since I moved to Carbondale. I like the area, I just hate being so far from home/friends/family."
R_3m4a7RIDOb9DaQ7,EN,United States,18,Cisgender Woman,Heterosexual,White/European,Mentally Unwell,5,6,My health is not too well mentally. My anxiety is out of control. I am originally from Champaign so I am sure homesickness is hitting hardcore. I like Carbondale but I think that I would rather be home around my friends/family.
R_30uVJvxk7H0Rm5C,EN,United States,18,Cisgender Woman,Heterosexual,Black/African,Unemployed,4,5,"I feel safe and loved, I just go through a lot by myself and don't speak on it."
R_1gHBZfWs3Q1h4JG,EN,United States,21,Cisgender Man,Heterosexual,White/European,Larger Bodied,7,7,I loved where I grew up
R_3NNSHanMrDdJzE9,EN,United States,19,Nonbinary,Asexual,White/European,NA,6,7,"I'm white, raised in a white neighborhood, but with a lot of liberal/left leaning people. This has led me to feel comfortable experimenting with gender and sexuality, but has left me lacking in education on racial issues. I live in a very safe neighborhood and do not experience violence, and it came as quite a shock when I was in a group of people with wildly different lives than me who live through fights at school, violence at home, and can still come out of it nonchalant."
R_2aFdpJB6MjBGhxn,EN,United States,21,Cisgender Man,Heterosexual,Black/African,Low Resourced,4,4,It impacts in everyday. i come from a poverty stricken neighborhood and i went home for thanks giving and it just felt like id be there forever and that's not what i want with my life
R_2wADdMLIU83mmXW,EN,United States,21,Cisgender Man,Heterosexual,White/European,Religious Minority,7,7,I loved where I lived
R_DcwAYA2SpjwiCTD,EN,United States,18,Cisgender Woman,Heterosexual,Asian,Immigrant,4,6,"I live in a pretty safe suburban neighborhood so I guess that would explain why I very rarely felt unsafe in my life. In addition, because my mom is a nurse and we live close to the city I have access to pretty good medical resources. I have not found any difficulty dealing with my gender and/or my identity, primarily because I don't belong to the LGBTQ+ organization, and society is more welcoming to individuals who are heterosexual or identify as a male or female compared to those who are lesbian or gay. In addition, because of that I believe that I am more comfortable going about society, whereas others may be ridiculed in his or her workspace, church, or home. As for my ethnicity, because I am Asian, I have faced some difficulty and racist comments when growing up, but it did not really bother me or stunt my confidence or my appreciation for my culture."
R_2eRUQppK7U6VDMP,EN,United States,18,Cisgender Woman,Heterosexual,Black/African,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"I am always traveling or hanging out at various places so I never feel as if my location impacts me too much. Sometimes, however, if I'm in an environment that makes me feel inferior, I try to better myself to the standards of that area, making myself superior."
R_1d186U8zXt5VjGe,EN,United States,18,Cisgender Woman,Panromantic/Pansexual,White/European,Larger Bodied,5,7,"I live in a safe and accepting place, and I am in a place of privilege so I don't usually fear not being safe except for being a woman"
R_3qZQQuUXJeYP33j,EN,United States,18,Cisgender Man,Heterosexual,Multi-Racial,Unemployed,5,5,My location isn't that bad of a neighborhood. I have grew up and created very close relationships over the years.
R_1igmldK2vwd7E9K,EN,United States,19,Cisgender Woman,Heterosexual,White/European,Mentally Unwell,5,6,I feel like where I live is a very safe area. There are always police around my house.
R_xbBpxCAFCinCpVL,EN,United States,19,Cisgender Woman,Heterosexual,White/European,NA,5,5,My location impacts my safety in positive ways with my relationships and health and safety.
R_2VloD0pweK7TwrA,EN,United States,18,Cisgender Man,Heterosexual,Asian,NA,4,6,"The area where I live is a relatively safe place, some of the relationships I have currently aren't the best but I'm working on it."
R_2SdZYnSbftL2GBl,EN,United States,20,Cisgender Woman,Heterosexual,White/European,Larger Bodied,5,5,"This week has been a bad couple of weeks for me and I actively seek out professional medical health via a therapy, so my answers are very honest but a bit more depressing than usual. I'm in a long-distance relationship with my fiance (I'm in NYC, he's in Maine), so that's a huge pressing factor on my happiness. Other than that, the stress I experience at work/school is also immaculate."
R_1QyBXYRDvILi4n5,EN,United States,20,Cisgender Woman,Questioning,White/European,NA,6,6,"I have more privileges available for me than most, but my family is somewhat narrowminded and sometimes I don't feel safe confiding in them."
R_3lFDqOZloKFHlFO,EN,United States,21,Cisgender Woman,Straight,White/European,Low Resourced,4,2,"I am a straight cisgender woman and living in Brooklyn does not impact my identity, in regards to not being accepted, because being straight is considered a ""norm.""

I do travel late on the train at night so sometimes I feel like my life might be in danger from male sexual predators."
R_RI7Tz5JwCkez4LD,EN,United States,19,Cisgender Man,Gay,White/European,Mentally Unwell,6,6,My location does have a big impact because I am not as close to friends and family as I would like to be and that encouraged me to move to New York to be closer to family. I still live in California for some parts of the year.
R_1gRzIxomjmp27UE,EN,United States,19,Cisgender Woman,Heterosexual,White/European,Larger Bodied,6,7,I live in a city and it impacts the speed I operate at. New York City is a very face paced city and because of that I have a hard time slowing down. This leads to high stress levels.
R_31AzdRcQ0ucVFLC,EN,United States,21,Cisgender Woman,Heterosexual,White/European,Unemployed,7,7,I commute to and from school in NYC from Long Island because I feel safer as I move farther from the city. The city makes me extremely tense and I turn into an angry person while I am there. My geographical location strongly impacts my mental health which Iâ€™ve just learned after living part time and going to school full time in NYC for the last 4 years.
R_3EbA0M6XRbxbuTM,EN,United States,18,Cisgender Man,Heterosexual,Multi-Racial,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,Living in a nice neighborhood exposed me to the more beautiful aspects of childhood and humanity. I believe my upbringing has made me into the best person I could have been.
R_eEE9wmlPETgUSnn,EN,United States,18,Cisgender Woman,Asexual,Asian,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,7,7,"I am actually from California so this is a whole new change for me. Living across the country and being a 5-6 hr plane ride from my family is pretty hard. But I realized that all my relationships with my parents, sister and friends from back home grew a lot stronger because I talk to them everyday."
R_3F34FupTee5JH9w,EN,United States,18,Cisgender Woman,Heterosexual,Multi-Racial,Low Resourced,6,7,In my location that I live crime rates are extremely low.  so safety is very rarely a problem.  My relationships I have built in my community are very strong and I can easily count on them.
R_27JzkeYZLZHZCQD,EN,United States,20,Cisgender Man,Heterosexual,Multi-Racial,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,6,6,I have overall lived an exteremely blessed life. My environment allowed me to make freinds and get a good education that many others havent gotten the opportunity to experience. My parents are loving and have always pushed me educationally and to try new things. Ive overall felt safe in my environment.
R_1OouiMLysXjnwIb,EN,United States,18,Cisgender Man,Heterosexual,Multi-Racial,No Minority Identities/None/None of Above/Blank/Priveleged Identity Listed,5,6,n/a
